# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC	170.8900	118.3900	167.0200	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 7	173.7855	124.8208	190.4943	-0.7456	0.5046	0.4352	-0.4471	-0.8631	0.2349	0.4942	-0.0194	0.8691
Sample 12	178.9185	121.9927	187.6924	-0.7225	0.5205	0.4551	-0.4465	-0.8538	0.2676	0.5279	-0.0099	0.8493
PMC0.5	182.2217	114.4020	179.2485	0.1148	-0.8808	-0.4593	-0.8003	-0.3559	0.4825	-0.5885	0.3122	-0.7458
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 738	Session 1	738	PMC0.5	182.2885	114.4317	179.5936	-0.1075	0.8881	0.4468	-0.8057	-0.3412	0.4842	0.5825	-0.3079	0.7522	0.3528	0.2018	179.4418	-0.8267	(null)	(null)	(null)	2020-09-22	14:38:41.554	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 739	Session 1	739	PMC0.5	182.2580	114.4142	179.6143	-0.1076	0.8869	0.4493	-0.8070	-0.3419	0.4815	0.5807	-0.3108	0.7525	0.3678	0.2229	179.4060	-0.7286	(null)	(null)	(null)	2020-09-22	14:38:42.056	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 740	Session 1	740	PMC0.5	182.2772	114.5957	179.5958	-0.1076	0.8874	0.4482	-0.8079	-0.3408	0.4807	0.5794	-0.3104	0.7536	0.4015	0.3264	179.3038	-0.7704	(null)	(null)	(null)	2020-09-22	14:38:42.557	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 741	Session 1	741	PMC0.5	182.4184	114.6602	179.4437	-0.1102	0.8873	0.4478	-0.8076	-0.3426	0.4800	0.5793	-0.3088	0.7543	0.3787	0.3324	179.2568	-0.6619	(null)	(null)	(null)	2020-09-22	14:38:43.059	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 742	Session 1	742	PMC0.5	182.5649	114.5852	179.3976	-0.1137	0.8860	0.4495	-0.8061	-0.3467	0.4796	0.5808	-0.3078	0.7536	0.4167	0.3293	179.3238	-0.4287	(null)	(null)	(null)	2020-09-22	14:38:43.658	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 743	Session 1	743	PMC0.5	182.7642	114.3674	179.0871	-0.1157	0.8858	0.4494	-0.8068	-0.3477	0.4776	0.5793	-0.3074	0.7549	0.5671	0.5295	179.2085	-0.3314	(null)	(null)	(null)	2020-09-22	14:38:44.160	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 744	Session 1	744	PMC0.5	182.8915	114.4707	179.0367	-0.1149	0.8863	0.4487	-0.8070	-0.3467	0.4782	0.5793	-0.3072	0.7550	0.7058	0.6748	179.2022	-0.4013	(null)	(null)	(null)	2020-09-22	14:38:44.758	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 745	Session 1	745	PMC0.5	182.8146	114.3885	179.0676	-0.1133	0.8869	0.4478	-0.8076	-0.3447	0.4784	0.5787	-0.3074	0.7554	0.6200	0.5832	179.1699	-0.5123	(null)	(null)	(null)	2020-09-22	14:38:45.260	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 746	Session 1	746	PMC0.5	182.9677	114.7218	179.2670	-0.1189	0.8832	0.4536	-0.8219	-0.3439	0.4541	0.5571	-0.3188	0.7668	0.8118	0.7427	177.8010	-0.0195	(null)	(null)	(null)	2020-09-22	14:38:55.459	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 747	Session 1	747	PMC0.5	182.7256	114.4738	179.5419	-0.1190	0.8826	0.4547	-0.8203	-0.3455	0.4559	0.5595	-0.3188	0.7651	0.5875	0.3337	177.9677	0.0297	(null)	(null)	(null)	2020-09-22	14:38:55.960	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 748	Session 1	748	PMC0.5	182.5937	114.4655	179.5485	-0.1193	0.8827	0.4545	-0.8208	-0.3453	0.4551	0.5587	-0.3188	0.7657	0.4821	0.2414	177.9126	0.0363	(null)	(null)	(null)	2020-09-22	14:38:56.461	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 749	Session 1	749	PMC0.5	182.4760	114.5161	179.6482	-0.1202	0.8831	0.4536	-0.8199	-0.3459	0.4561	0.5597	-0.3171	0.7656	0.4873	0.2600	177.9780	0.0430	(null)	(null)	(null)	2020-09-22	14:38:56.962	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 750	Session 1	750	PMC0.5	182.5866	114.4586	179.5420	-0.1187	0.8826	0.4548	-0.8209	-0.3449	0.4551	0.5585	-0.3194	0.7655	0.4717	0.2325	177.9042	0.0176	(null)	(null)	(null)	2020-09-22	14:38:57.561	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 751	Session 1	751	PMC0.5	182.4614	114.4197	179.7250	-0.1188	0.8818	0.4565	-0.8205	-0.3461	0.4550	0.5591	-0.3205	0.7646	0.5337	0.2051	177.9470	0.0870	(null)	(null)	(null)	2020-09-22	14:38:58.160	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 752	Session 1	752	PMC0.5	182.6355	114.5252	179.5723	-0.1190	0.8812	0.4576	-0.8205	-0.3468	0.4545	0.5591	-0.3213	0.7643	0.5397	0.3136	177.9458	0.1354	(null)	(null)	(null)	2020-09-22	14:38:58.661	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 753	Session 1	753	PMC0.5	182.7836	114.5790	179.4493	-0.1178	0.8815	0.4572	-0.8203	-0.3458	0.4555	0.5597	-0.3214	0.7639	0.6224	0.4675	177.9809	0.0632	(null)	(null)	(null)	2020-09-22	14:38:59.260	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
