# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PSC	172.5000	134.5000	162.5000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Subj1_visit4_PSC_ReverseCoil	184.3998	129.1217	182.3451	-0.3033	0.8147	0.4941	-0.7677	-0.5162	0.3798	0.5645	-0.2641	0.7820
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 220	Session 1	220	Subj1_visit4_PSC_ReverseCoil	182.8584	129.8654	179.2333	-0.3184	0.8150	0.4842	-0.7659	-0.5222	0.3752	0.5586	-0.2514	0.7904	3.5513	0.5559	0.9366	0.4398	(null)	(null)	(null)	2020-11-20	11:34:31.460	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 221	Session 1	221	Subj1_visit4_PSC_ReverseCoil	182.7915	129.8340	179.4407	-0.3215	0.8153	0.4816	-0.7646	-0.5236	0.3759	0.5586	-0.2474	0.7917	3.3956	0.3818	1.1588	0.5119	(null)	(null)	(null)	2020-11-20	11:34:31.961	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 222	Session 1	222	Subj1_visit4_PSC_ReverseCoil	182.4315	129.8007	179.4089	-0.3187	0.8170	0.4806	-0.7656	-0.5208	0.3777	0.5589	-0.2476	0.7914	3.5995	0.2336	1.1350	0.3154	(null)	(null)	(null)	2020-11-20	11:34:32.463	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 223	Session 1	223	Subj1_visit4_PSC_ReverseCoil	182.5892	129.7773	179.3476	-0.3163	0.8171	0.4820	-0.7673	-0.5191	0.3765	0.5578	-0.2508	0.7912	3.5627	0.3457	1.0027	0.2350	(null)	(null)	(null)	2020-11-20	11:34:32.964	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 224	Session 1	224	Subj1_visit4_PSC_ReverseCoil	182.5491	129.7323	179.5082	-0.3154	0.8173	0.4823	-0.7679	-0.5184	0.3763	0.5576	-0.2516	0.7911	3.4418	0.2878	0.9693	0.1961	(null)	(null)	(null)	2020-11-20	11:34:33.465	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 225	Session 1	225	Subj1_visit4_PSC_ReverseCoil	182.6529	129.8109	179.4220	-0.3138	0.8176	0.4827	-0.7677	-0.5176	0.3777	0.5587	-0.2521	0.7901	3.4743	0.3225	0.8960	0.1256	(null)	(null)	(null)	2020-11-20	11:34:34.065	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 226	Session 1	226	Subj1_visit4_PSC_ReverseCoil	182.6156	129.9351	179.4747	-0.3143	0.8179	0.4820	-0.7681	-0.5174	0.3772	0.5579	-0.2517	0.7908	3.4762	0.2063	0.9512	0.1225	(null)	(null)	(null)	2020-11-20	11:34:34.566	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 227	Session 1	227	Subj1_visit4_PSC_ReverseCoil	182.6384	130.1712	179.3486	-0.3121	0.8186	0.4822	-0.7689	-0.5157	0.3779	0.5580	-0.2528	0.7904	3.6309	0.3211	0.8862	0.0107	(null)	(null)	(null)	2020-11-20	11:34:35.067	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 228	Session 1	228	Subj1_visit4_PSC_ReverseCoil	182.1330	129.8873	179.1752	-0.3019	0.8230	0.4813	-0.7625	-0.5114	0.3963	0.5723	-0.2473	0.7819	3.9715	0.2261	1.0618	-0.5876	(null)	(null)	(null)	2020-11-20	11:34:45.356	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 229	Session 1	229	Subj1_visit4_PSC_ReverseCoil	182.1082	129.7647	179.1381	-0.3013	0.8240	0.4798	-0.7635	-0.5099	0.3963	0.5713	-0.2469	0.7828	3.9937	0.3522	1.0630	-0.6756	(null)	(null)	(null)	2020-11-20	11:34:45.857	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
