# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC	170.8900	118.3900	167.0200	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 4	173.3457	127.7176	188.1663	-0.6812	0.4754	0.5567	-0.4570	-0.8702	0.1839	0.5719	-0.1292	0.8101
Sample 7	184.2503	131.5956	181.8663	-0.6140	0.5959	0.5175	-0.4851	-0.8022	0.3482	0.6226	-0.0372	0.7816
Sample 24	189.0394	127.8872	176.9464	-0.5444	0.6290	0.5550	-0.5150	-0.7729	0.3707	0.6621	-0.0840	0.7447
PMCtrajectory	182.2217	114.4020	179.2485	0.1148	-0.8808	-0.4593	-0.8003	-0.3559	0.4825	-0.5885	0.3122	-0.7458
Sample 77	181.4947	114.1794	179.4798	-0.1977	0.8674	0.4567	-0.7757	-0.4233	0.4681	0.5994	-0.2617	0.7565
PMCtangential	181.4947	114.1794	179.4798	-0.1977	0.8674	0.4567	-0.7757	-0.4233	0.4681	0.5994	-0.2617	0.7565
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 278	Session 1	278	PMCtangential	181.4453	114.7010	178.7514	-0.2076	0.8618	0.4628	-0.7764	-0.4330	0.4580	0.5951	-0.2643	0.7590	0.8973	0.5354	0.3188	0.7398	(null)	(null)	(null)	2020-10-06	12:13:45.341	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 279	Session 1	279	PMCtangential	181.2435	114.6132	178.8773	-0.2078	0.8612	0.4639	-0.7759	-0.4339	0.4580	0.5957	-0.2648	0.7583	0.7837	0.3065	0.2944	0.7938	(null)	(null)	(null)	2020-10-06	12:13:45.841	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 280	Session 1	280	PMCtangential	181.0987	114.7011	179.0445	-0.2090	0.8604	0.4648	-0.7778	-0.4344	0.4542	0.5927	-0.2666	0.7600	0.7864	0.3492	0.5153	0.8927	(null)	(null)	(null)	2020-10-06	12:13:46.343	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 281	Session 1	281	PMCtangential	181.0846	114.6299	179.0929	-0.2083	0.8603	0.4653	-0.7777	-0.4342	0.4547	0.5932	-0.2672	0.7594	0.7217	0.2976	0.5020	0.8723	(null)	(null)	(null)	2020-10-06	12:13:46.844	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 282	Session 1	282	PMCtangential	181.0874	114.5919	178.9648	-0.2091	0.8615	0.4627	-0.7772	-0.4336	0.4561	0.5935	-0.2643	0.7602	0.7754	0.2243	0.4240	0.8101	(null)	(null)	(null)	2020-10-06	12:13:47.345	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 283	Session 1	283	PMCtangential	181.1153	114.4698	179.0386	-0.2098	0.8628	0.4600	-0.7794	-0.4316	0.4541	0.5903	-0.2633	0.7630	0.6503	0.1306	0.6459	0.7387	(null)	(null)	(null)	2020-10-06	12:13:47.846	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 284	Session 1	284	PMCtangential	181.1400	114.4730	178.9772	-0.2101	0.8623	0.4607	-0.7798	-0.4321	0.4531	0.5897	-0.2641	0.7632	0.6816	0.1238	0.6861	0.7823	(null)	(null)	(null)	2020-10-06	12:13:48.346	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 285	Session 1	285	PMCtangential	181.2222	114.5703	178.7598	-0.2092	0.8628	0.4603	-0.7805	-0.4309	0.4529	0.5891	-0.2645	0.7636	0.8634	0.2888	0.7343	0.7215	(null)	(null)	(null)	2020-10-06	12:13:48.847	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 286	Session 1	286	PMCtangential	180.9730	114.7695	178.8538	-0.2003	0.8666	0.4570	-0.7868	-0.4203	0.4521	0.5839	-0.2690	0.7660	1.0061	0.3511	1.1235	0.1429	(null)	(null)	(null)	2020-10-06	12:13:59.243	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 287	Session 1	287	PMCtangential	180.8152	114.6002	178.8675	-0.1982	0.8669	0.4573	-0.7871	-0.4189	0.4529	0.5842	-0.2702	0.7653	1.0068	0.2339	1.1200	0.0517	(null)	(null)	(null)	2020-10-06	12:13:59.744	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 288	Session 1	288	PMCtangential	180.9086	114.3809	178.9877	-0.1989	0.8661	0.4586	-0.7874	-0.4198	0.4513	0.5834	-0.2714	0.7655	0.7913	0.1680	1.1866	0.1368	(null)	(null)	(null)	2020-10-06	12:14:00.245	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
