# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC_Target	158.0200	133.7800	176.8800	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 1	167.7134	134.0920	198.1210	-0.6583	0.7070	0.2582	-0.6655	-0.7070	0.2393	0.3518	-0.0143	0.9360
Sample 6	169.8072	147.1767	196.2742	-0.6258	0.7158	0.3099	-0.5589	-0.6886	0.4620	0.5441	0.1159	0.8310
Sample 15	173.4964	143.0137	193.7057	-0.6162	0.7273	0.3022	-0.5627	-0.6751	0.4772	0.5511	0.1240	0.8252
Sample 19	171.0271	139.6349	195.8459	-0.6097	0.7056	0.3612	-0.5471	-0.7043	0.4523	0.5736	0.0781	0.8154
Sample 1PMCreverse	168.2411	134.0719	199.5249	-0.6583	0.7070	0.2582	-0.6655	-0.7070	0.2393	0.3518	-0.0143	0.9360
hotspot	171.0271	139.6349	195.8459	-0.6097	0.7056	0.3612	-0.5471	-0.7043	0.4523	0.5736	0.0781	0.8154
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 508	Session 1	508	Sample1PMCreverse	168.1719	134.4901	200.1249	-0.6809	0.6864	0.2553	-0.6378	-0.7272	0.2538	0.3599	0.0100	0.9329	0.7346	0.4991	1.4795	1.6588	(null)	(null)	(null)	2020-09-24	11:49:51.254	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 509	Session 1	509	Sample1PMCreverse	168.4103	134.4628	200.1824	-0.6811	0.6872	0.2528	-0.6384	-0.7264	0.2547	0.3586	0.0121	0.9334	0.7834	0.3906	1.5685	1.5977	(null)	(null)	(null)	2020-09-24	11:49:51.756	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 510	Session 1	510	Sample1PMCreverse	168.3755	134.3540	200.1769	-0.6836	0.6853	0.2511	-0.6367	-0.7281	0.2539	0.3569	0.0137	0.9340	0.7230	0.2933	1.6346	1.7450	(null)	(null)	(null)	2020-09-24	11:49:52.257	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 511	Session 1	511	Sample1PMCreverse	168.4835	134.2999	200.2323	-0.6846	0.6842	0.2514	-0.6374	-0.7293	0.2489	0.3536	0.0102	0.9353	0.7817	0.2216	1.4057	1.8371	(null)	(null)	(null)	2020-09-24	11:49:52.759	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 512	Session 1	512	Sample1PMCreverse	168.4092	134.2134	200.1646	-0.6849	0.6844	0.2500	-0.6377	-0.7290	0.2487	0.3524	0.0109	0.9358	0.6764	0.1506	1.4463	1.8196	(null)	(null)	(null)	2020-09-24	11:49:53.260	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 513	Session 1	513	Sample1PMCreverse	168.4977	134.1162	200.2215	-0.6842	0.6851	0.2501	-0.6385	-0.7284	0.2486	0.3524	0.0104	0.9358	0.7437	0.0370	1.4142	1.7617	(null)	(null)	(null)	2020-09-24	11:49:53.762	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 514	Session 1	514	Sample1PMCreverse	168.4333	133.9371	200.0856	-0.6831	0.6871	0.2475	-0.6404	-0.7264	0.2494	0.3512	0.0118	0.9362	0.6079	0.1428	1.4957	1.6026	(null)	(null)	(null)	2020-09-24	11:49:54.263	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 515	Session 1	515	Sample1PMCreverse	168.5574	133.8971	200.1879	-0.6831	0.6864	0.2497	-0.6401	-0.7272	0.2480	0.3518	0.0096	0.9360	0.7551	0.1924	1.3687	1.6642	(null)	(null)	(null)	2020-09-24	11:49:54.765	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 516	Session 1	516	Sample1PMCreverse	168.3354	134.0436	200.2900	-0.6806	0.6927	0.2385	-0.6531	-0.7212	0.2311	0.3321	0.0015	0.9433	0.7714	0.1678	1.5072	1.1591	(null)	(null)	(null)	2020-09-24	11:50:05.167	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 517	Session 1	517	Sample1PMCreverse	168.4820	134.3820	200.2370	-0.6816	0.6910	0.2407	-0.6522	-0.7228	0.2284	0.3318	-0.0013	0.9433	0.8132	0.3112	1.4250	1.2957	(null)	(null)	(null)	2020-09-24	11:50:05.668	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
