# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC_Target	158.0200	133.7800	176.8800	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
tghy	167.7134	134.0920	198.1210	-0.6583	0.7070	0.2582	-0.6655	-0.7070	0.2393	0.3518	-0.0143	0.9360
Sample 16	179.7527	136.2435	197.3028	-0.6018	0.7261	0.3324	-0.5256	-0.6736	0.5197	0.6013	0.1380	0.7870
Sample 22	183.0669	132.7471	195.1869	-0.5646	0.7559	0.3313	-0.5430	-0.6426	0.5407	0.6216	0.1254	0.7732
Sample 29	179.5931	138.4173	196.7347	-0.6166	0.7173	0.3245	-0.5280	-0.6825	0.5053	0.5839	0.1402	0.7996
Sample 36	183.6415	142.4087	193.6511	-0.6479	0.6722	0.3583	-0.4686	-0.7225	0.5083	0.6005	0.1614	0.7831
Sample 53	181.7408	138.4353	195.3383	-0.6853	0.6278	0.3689	-0.4433	-0.7617	0.4726	0.5777	0.1603	0.8003
PMCtargetrev	168.4170	134.0652	199.9929	-0.6583	0.7070	0.2582	-0.6655	-0.7070	0.2393	0.3518	-0.0143	0.9360
hotspot	181.7408	138.4353	195.3383	-0.6853	0.6278	0.3689	-0.4433	-0.7617	0.4726	0.5777	0.1603	0.8003
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 713	Session 1	713	PMCtargetrev	168.1637	134.0422	199.5349	-0.6854	0.6834	0.2516	-0.6240	-0.7292	0.2809	0.3754	0.0355	0.9262	0.5239	0.0629	3.2081	1.9017	(null)	(null)	(null)	2020-09-17	11:45:47.589	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 714	Session 1	714	PMCtargetrev	168.3176	134.0250	199.6059	-0.6856	0.6824	0.2536	-0.6230	-0.7302	0.2806	0.3766	0.0345	0.9257	0.4016	0.0600	3.1916	1.9776	(null)	(null)	(null)	2020-09-17	11:45:48.090	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 715	Session 1	715	PMCtargetrev	168.3424	134.3086	199.4143	-0.6867	0.6809	0.2545	-0.6217	-0.7316	0.2798	0.3767	0.0339	0.9257	0.6322	0.3018	3.1688	2.0953	(null)	(null)	(null)	2020-09-17	11:45:48.592	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 716	Session 1	716	PMCtargetrev	168.4794	134.2365	199.4085	-0.6879	0.6798	0.2541	-0.6196	-0.7325	0.2820	0.3779	0.0365	0.9251	0.6122	0.3374	3.3329	2.1802	(null)	(null)	(null)	2020-09-17	11:45:49.093	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 717	Session 1	717	PMCtargetrev	168.3735	133.5680	199.5202	-0.6882	0.6802	0.2524	-0.6198	-0.7320	0.2829	0.3771	0.0383	0.9254	0.6874	0.4990	3.3998	2.1521	(null)	(null)	(null)	2020-09-17	11:45:49.692	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 718	Session 1	718	PMCtargetrev	168.3161	133.9526	199.5410	-0.6904	0.6788	0.2502	-0.6192	-0.7333	0.2808	0.3741	0.0390	0.9266	0.4765	0.1212	3.3528	2.2588	(null)	(null)	(null)	2020-09-17	11:45:50.194	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 719	Session 1	719	PMCtargetrev	168.4749	134.4221	199.4117	-0.6991	0.6687	0.2531	-0.6076	-0.7422	0.2828	0.3770	0.0440	0.9252	0.6844	0.4672	3.6900	3.0426	(null)	(null)	(null)	2020-09-17	11:45:50.794	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 720	Session 1	720	PMCtargetrev	168.4954	134.7231	199.4081	-0.6978	0.6711	0.2503	-0.6107	-0.7401	0.2817	0.3743	0.0437	0.9263	0.8837	0.7397	3.6107	2.8579	(null)	(null)	(null)	2020-09-17	11:45:51.393	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 721	Session 1	721	PMCtargetrev	168.0814	133.6794	199.5708	-0.6974	0.6718	0.2496	-0.6221	-0.7404	0.2547	0.3559	0.0223	0.9343	0.6631	0.4083	2.1154	2.7998	(null)	(null)	(null)	2020-09-17	11:46:01.496	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 722	Session 1	722	PMCtargetrev	167.7662	133.5266	199.7716	-0.6960	0.6729	0.2505	-0.6199	-0.7392	0.2633	0.3624	0.0279	0.9316	0.8733	0.7441	2.5077	2.7143	(null)	(null)	(null)	2020-09-17	11:46:02.095	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
