# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 405	Session imported from “Block2.txt”	405	PMCtarget_1.5mm	182.5134	122.7084	173.7275	-0.7230	0.0529	0.6888	-0.2180	-0.9636	-0.1548	0.6555	-0.2621	0.7082	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:20:19.874	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	15.9891
Sample 406	Session imported from “Block2.txt”	406	PMCtarget_1.5mm	182.4227	122.4588	173.7208	-0.7216	0.0522	0.6903	-0.2162	-0.9643	-0.1531	0.6577	-0.2597	0.7071	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:20:20.376	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	19.4153
Sample 407	Session imported from “Block2.txt”	407	PMCtarget_1.5mm	182.5472	122.5942	173.6578	-0.7203	0.0541	0.6915	-0.2186	-0.9639	-0.1523	0.6583	-0.2609	0.7061	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:20:20.878	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	26.2678
Sample 408	Session imported from “Block2.txt”	408	PMCtarget_1.5mm	182.5365	122.4011	173.6013	-0.7196	0.0525	0.6924	-0.2171	-0.9642	-0.1525	0.6596	-0.2601	0.7052	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:20:21.380	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	19.4153
Sample 409	Session imported from “Block2.txt”	409	PMCtarget_1.5mm	182.5332	122.5896	173.6686	-0.7208	0.0519	0.6911	-0.2164	-0.9642	-0.1533	0.6584	-0.2601	0.7063	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:20:21.882	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	25.1257
Sample 410	Session imported from “Block2.txt”	410	PMCtarget_1.5mm	182.7108	122.6856	173.5460	-0.7201	0.0524	0.6919	-0.2179	-0.9638	-0.1538	0.6588	-0.2615	0.7054	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:20:22.384	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	21.6995
Sample 411	Session imported from “Block2.txt”	411	PMCtarget_1.5mm	182.6241	122.5759	173.5841	-0.7213	0.0514	0.6907	-0.2179	-0.9634	-0.1559	0.6574	-0.2630	0.7061	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:20:22.983	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	19.4153
Sample 412	Session imported from “Block2.txt”	412	PMCtarget_1.5mm	182.7418	122.6711	173.5136	-0.7202	0.0519	0.6918	-0.2202	-0.9627	-0.1570	0.6579	-0.2654	0.7048	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:20:23.582	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	19.4153
Sample 413	Session imported from “Block2.txt”	413	PMCtarget_1.5mm	182.6041	122.2993	173.5073	-0.7264	0.0441	0.6858	-0.2038	-0.9669	-0.1536	0.6563	-0.2513	0.7114	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:20:33.782	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	11.4208
Sample 414	Session imported from “Block2.txt”	414	PMCtarget_1.5mm	182.5482	122.1746	173.5137	-0.7259	0.0450	0.6864	-0.2046	-0.9668	-0.1530	0.6567	-0.2515	0.7110	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:20:34.283	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	15.9891
