# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End
Sample 485	Session imported from “Block3.txt”	485	PSC_2.5mm	188.3324	132.2759	171.2339	-0.0038	0.9312	0.3646	-0.6879	-0.2671	0.6749	0.7258	-0.2482	0.6416	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:29:52.782	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 486	Session imported from “Block3.txt”	486	PSC_2.5mm	187.8565	132.0182	171.6845	-0.0061	0.9302	0.3670	-0.6880	-0.2702	0.6735	0.7257	-0.2484	0.6416	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:29:53.283	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 487	Session imported from “Block3.txt”	487	PSC_2.5mm	188.1688	132.2505	171.4098	-0.0032	0.9311	0.3647	-0.6907	-0.2658	0.6726	0.7232	-0.2497	0.6439	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:29:53.784	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 488	Session imported from “Block3.txt”	488	PSC_2.5mm	188.2454	132.4161	171.3904	-0.0045	0.9308	0.3654	-0.6915	-0.2669	0.6713	0.7224	-0.2497	0.6449	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:29:54.284	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 489	Session imported from “Block3.txt”	489	PSC_2.5mm	188.1409	132.4218	171.5117	-0.0052	0.9306	0.3659	-0.6912	-0.2678	0.6712	0.7227	-0.2494	0.6446	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:29:54.786	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 490	Session imported from “Block3.txt”	490	PSC_2.5mm	188.2088	132.4382	171.4411	-0.0054	0.9302	0.3670	-0.6924	-0.2683	0.6698	0.7215	-0.2505	0.6455	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:29:55.385	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 491	Session imported from “Block3.txt”	491	PSC_2.5mm	187.7555	132.2644	171.9041	-0.0042	0.9295	0.3688	-0.6905	-0.2695	0.6713	0.7233	-0.2518	0.6429	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:29:55.886	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 492	Session imported from “Block3.txt”	492	PSC_2.5mm	187.7454	132.0933	171.8475	-0.0031	0.9278	0.3731	-0.6887	-0.2725	0.6719	0.7250	-0.2549	0.6398	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:29:56.386	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 493	Session imported from “Block3.txt”	493	PSC_2.5mm	188.5737	131.4842	170.6260	-0.0446	0.9293	0.3667	-0.6921	-0.2934	0.6594	0.7204	-0.2244	0.6563	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:30:06.677	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 494	Session imported from “Block3.txt”	494	PSC_2.5mm	188.3512	131.5211	170.9008	-0.0472	0.9308	0.3625	-0.6921	-0.2922	0.6601	0.7203	-0.2197	0.6580	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:30:07.178	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
