# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End
Sample 685	Session imported from “Block4.txt”	685	PSC_2.5mm	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:40:58.367	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 686	Session imported from “Block4.txt”	686	PSC_2.5mm	188.0748	131.9045	171.3780	-0.0062	0.9351	0.3544	-0.6976	-0.2580	0.6684	0.7164	-0.2431	0.6539	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:41:55.892	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 687	Session imported from “Block4.txt”	687	PSC_2.5mm	188.0808	131.8891	171.3647	-0.0067	0.9358	0.3526	-0.6987	-0.2566	0.6678	0.7154	-0.2419	0.6555	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:41:56.393	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 688	Session imported from “Block4.txt”	688	PSC_2.5mm	188.1372	132.0915	171.3808	-0.0067	0.9359	0.3522	-0.6991	-0.2562	0.6676	0.7150	-0.2417	0.6560	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:41:56.895	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 689	Session imported from “Block4.txt”	689	PSC_2.5mm	188.2064	132.1855	171.3404	-0.0080	0.9360	0.3519	-0.6990	-0.2569	0.6674	0.7151	-0.2406	0.6563	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:41:57.396	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 690	Session imported from “Block4.txt”	690	PSC_2.5mm	188.1748	132.2112	171.3869	-0.0077	0.9356	0.3529	-0.6991	-0.2574	0.6671	0.7150	-0.2416	0.6561	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:41:57.897	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 691	Session imported from “Block4.txt”	691	PSC_2.5mm	188.1567	132.0602	171.3457	-0.0082	0.9362	0.3513	-0.6983	-0.2568	0.6681	0.7157	-0.2398	0.6559	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:41:58.398	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 692	Session imported from “Block4.txt”	692	PSC_2.5mm	188.2601	132.1423	171.2616	-0.0087	0.9371	0.3489	-0.6989	-0.2552	0.6681	0.7151	-0.2380	0.6572	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:41:58.901	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 693	Session imported from “Block4.txt”	693	PSC_2.5mm	188.1817	132.1773	171.3651	-0.0083	0.9372	0.3486	-0.7000	-0.2544	0.6673	0.7141	-0.2385	0.6582	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:41:59.402	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 694	Session imported from “Block4.txt”	694	PSC_2.5mm	188.3205	132.0945	171.1731	-0.0126	0.9372	0.3485	-0.6943	-0.2590	0.6714	0.7195	-0.2335	0.6540	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:42:09.803	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 695	Session imported from “Block4.txt”	695	PSC_2.5mm	188.2243	131.9627	171.2288	-0.0138	0.9370	0.3491	-0.6943	-0.2602	0.6710	0.7196	-0.2331	0.6541	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:42:10.304	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 696	Session imported from “Block4.txt”	696	PSC_2.5mm	188.4382	132.2058	171.0848	-0.0144	0.9382	0.3458	-0.6953	-0.2579	0.6708	0.7186	-0.2308	0.6561	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:42:10.804	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 697	Session imported from “Block4.txt”	697	PSC_2.5mm	188.2168	132.0388	171.2685	-0.0147	0.9383	0.3454	-0.6949	-0.2580	0.6712	0.7189	-0.2302	0.6559	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:42:11.304	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 698	Session imported from “Block4.txt”	698	PSC_2.5mm	188.2885	131.8679	171.1169	-0.0138	0.9383	0.3457	-0.6945	-0.2577	0.6718	0.7194	-0.2308	0.6552	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:42:11.805	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 699	Session imported from “Block4.txt”	699	PSC_2.5mm	188.3308	131.6574	170.9825	-0.0138	0.9375	0.3477	-0.6931	-0.2596	0.6725	0.7207	-0.2317	0.6534	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:42:12.306	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 700	Session imported from “Block4.txt”	700	PSC_2.5mm	188.2877	131.4610	170.9489	-0.0112	0.9381	0.3462	-0.6915	-0.2574	0.6750	0.7223	-0.2318	0.6516	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:42:12.806	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 701	Session imported from “Block4.txt”	701	PSC_2.5mm	188.2641	131.8927	171.1548	-0.0116	0.9381	0.3463	-0.6926	-0.2573	0.6738	0.7212	-0.2320	0.6527	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:42:13.307	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 702	Session imported from “Block4.txt”	702	PSC_2.5mm	188.3153	131.8753	171.0894	-0.0180	0.9407	0.3388	-0.6933	-0.2559	0.6737	0.7204	-0.2228	0.6568	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:42:23.696	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 703	Session imported from “Block4.txt”	703	PSC_2.5mm	188.2206	132.1239	171.2990	-0.0147	0.9404	0.3396	-0.6932	-0.2544	0.6743	0.7206	-0.2255	0.6557	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:42:24.196	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
