# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End
Sample 421	Session imported from “Block2.txt”	421	PMC_1.5mm	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:05:31.161	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 422	Session imported from “Block2.txt”	422	PMC_1.5mm	182.4462	121.8716	173.4997	-0.7196	0.0577	0.6920	-0.2009	-0.9712	-0.1279	0.6647	-0.2311	0.7105	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:06:09.519	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 423	Session imported from “Block2.txt”	423	PMC_1.5mm	182.3999	121.8537	173.5342	-0.7195	0.0597	0.6919	-0.2009	-0.9716	-0.1251	0.6648	-0.2290	0.7111	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:06:10.020	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 424	Session imported from “Block2.txt”	424	PMC_1.5mm	182.3619	121.7819	173.5431	-0.7194	0.0603	0.6920	-0.2009	-0.9717	-0.1241	0.6649	-0.2283	0.7112	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:06:10.521	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 425	Session imported from “Block2.txt”	425	PMC_1.5mm	182.4770	121.7626	173.4356	-0.7185	0.0615	0.6928	-0.2022	-0.9715	-0.1235	0.6655	-0.2288	0.7105	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:06:11.023	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 426	Session imported from “Block2.txt”	426	PMC_1.5mm	182.4613	121.6356	173.4060	-0.7179	0.0626	0.6933	-0.2001	-0.9725	-0.1194	0.6668	-0.2244	0.7107	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:06:11.525	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 427	Session imported from “Block2.txt”	427	PMC_1.5mm	182.5214	121.8967	173.4423	-0.7185	0.0616	0.6928	-0.1993	-0.9725	-0.1202	0.6664	-0.2244	0.7110	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:06:12.026	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 428	Session imported from “Block2.txt”	428	PMC_1.5mm	182.5595	121.8143	173.3808	-0.7182	0.0640	0.6929	-0.2005	-0.9726	-0.1180	0.6663	-0.2237	0.7113	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:06:12.528	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 429	Session imported from “Block2.txt”	429	PMC_1.5mm	182.6696	121.8722	173.3040	-0.7178	0.0660	0.6931	-0.2028	-0.9721	-0.1175	0.6660	-0.2249	0.7112	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:06:13.029	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 430	Session imported from “Block2.txt”	430	PMC_1.5mm	182.4426	122.3502	173.6662	-0.7125	0.0949	0.6953	-0.2136	-0.9731	-0.0860	0.6684	-0.2098	0.7136	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:06:23.431	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 431	Session imported from “Block2.txt”	431	PMC_1.5mm	182.5941	122.3028	173.5172	-0.7122	0.0958	0.6954	-0.2132	-0.9734	-0.0842	0.6688	-0.2082	0.7137	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:06:23.932	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
