# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End
Sample 622	Session imported from “Block3.txt”	622	PMC_1.5mm	182.5364	122.5495	173.6520	-0.7023	0.0530	0.7099	-0.2060	-0.9697	-0.1314	0.6814	-0.2385	0.6919	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:17:40.732	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 623	Session imported from “Block3.txt”	623	PMC_1.5mm	182.5428	122.4070	173.5978	-0.7024	0.0516	0.7099	-0.2054	-0.9696	-0.1327	0.6815	-0.2390	0.6917	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:17:41.233	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 624	Session imported from “Block3.txt”	624	PMC_1.5mm	182.6162	122.6051	173.6011	-0.7023	0.0511	0.7100	-0.2055	-0.9695	-0.1335	0.6816	-0.2396	0.6914	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:17:41.832	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 625	Session imported from “Block3.txt”	625	PMC_1.5mm	182.6697	122.5887	173.5485	-0.7012	0.0517	0.7111	-0.2066	-0.9693	-0.1332	0.6824	-0.2403	0.6904	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:17:42.333	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 626	Session imported from “Block3.txt”	626	PMC_1.5mm	182.7328	122.7503	173.5494	-0.7026	0.0474	0.7100	-0.2041	-0.9693	-0.1373	0.6817	-0.2414	0.6907	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:17:42.932	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 627	Session imported from “Block3.txt”	627	PMC_1.5mm	182.6371	122.5053	173.5486	-0.7028	0.0480	0.7098	-0.2024	-0.9700	-0.1348	0.6820	-0.2385	0.6914	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:17:43.433	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 628	Session imported from “Block3.txt”	628	PMC_1.5mm	182.6898	122.5330	173.5119	-0.7026	0.0488	0.7099	-0.2021	-0.9702	-0.1334	0.6823	-0.2372	0.6916	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:17:44.033	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 629	Session imported from “Block3.txt”	629	PMC_1.5mm	182.8020	122.5881	173.4324	-0.7015	0.0508	0.7108	-0.2035	-0.9702	-0.1315	0.6830	-0.2368	0.6910	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:17:44.631	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 630	Session imported from “Block3.txt”	630	PMC_1.5mm	182.4796	122.4902	173.6816	-0.7026	0.0500	0.7099	-0.1966	-0.9723	-0.1261	0.6839	-0.2282	0.6930	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:17:54.632	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 631	Session imported from “Block3.txt”	631	PMC_1.5mm	182.5587	122.4956	173.6141	-0.7023	0.0496	0.7102	-0.1973	-0.9720	-0.1273	0.6840	-0.2295	0.6924	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:17:55.133	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
