# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PSC	172.5000	138.0000	154.5000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 1	128.0000	128.0000	128.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 3	165.8205	101.9259	182.2156	-0.5594	0.6673	0.4916	-0.6896	-0.7038	0.1707	0.4599	-0.2435	0.8539
Sample 6	177.1317	111.6144	178.0551	-0.4941	0.7128	0.4978	-0.7012	-0.6652	0.2565	0.5140	-0.2223	0.8285
Sample 11	180.4179	125.2005	179.8172	-0.4126	0.7101	0.5706	-0.7012	-0.6474	0.2986	0.5815	-0.2769	0.7650
Sample 18	172.9322	136.4293	188.1106	-0.4233	0.7335	0.5318	-0.7409	-0.6181	0.2628	0.5214	-0.2828	0.8051
Sample 27	179.5337	126.6989	179.5993	-0.4270	0.7263	0.5387	-0.6831	-0.6494	0.3341	0.5925	-0.2254	0.7734
Sample 43	179.0982	126.7878	179.7103	-0.3122	0.8284	0.4650	-0.7267	-0.5235	0.4448	0.6119	-0.1991	0.7654
PSC_2.5mm	188.2557	132.0233	171.7479	-0.0026	0.9387	0.3448	-0.6891	-0.2515	0.6796	0.7247	-0.2359	0.6475
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 284	Session 1	284	PSC_2.5mm	367.2463	222.5828	156.7747	-0.2353	0.9197	0.3143	-0.5365	-0.3926	0.7470	0.8104	0.0071	0.5858	201.1538	147.3528	15.2257	8.4192	(null)	(null)	(null)	2020-10-23	11:17:41.772	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 285	Session 1	285	PSC_2.5mm	190.4469	131.1802	173.2785	-0.0173	0.9360	0.3515	-0.6926	-0.2648	0.6709	0.7211	-0.2319	0.6529	2.8027	0.3938	0.4336	0.8826	(null)	(null)	(null)	2020-10-23	11:18:37.638	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 286	Session 1	286	PSC_2.5mm	190.3827	131.0307	173.4049	-0.0185	0.9359	0.3518	-0.6928	-0.2657	0.6704	0.7209	-0.2313	0.6533	2.8731	0.3978	0.4728	0.9415	(null)	(null)	(null)	2020-10-23	11:18:38.139	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 287	Session 1	287	PSC_2.5mm	190.3402	131.3192	173.3147	-0.0173	0.9361	0.3513	-0.6917	-0.2649	0.6718	0.7219	-0.2314	0.6521	2.7011	0.2492	0.3995	0.8749	(null)	(null)	(null)	2020-10-23	11:18:38.640	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 288	Session 1	288	PSC_2.5mm	190.3025	130.9314	173.4464	-0.0172	0.9367	0.3497	-0.6905	-0.2641	0.6734	0.7232	-0.2299	0.6513	2.8751	0.4644	0.4145	0.7981	(null)	(null)	(null)	2020-10-23	11:18:39.140	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 289	Session 1	289	PSC_2.5mm	190.3013	131.0946	173.3032	-0.0155	0.9372	0.3483	-0.6936	-0.2610	0.6714	0.7202	-0.2312	0.6541	2.7324	0.3838	0.5285	0.6680	(null)	(null)	(null)	2020-10-23	11:18:39.740	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 290	Session 1	290	PSC_2.5mm	190.2924	130.9964	173.3982	-0.0163	0.9368	0.3496	-0.6935	-0.2625	0.6710	0.7203	-0.2315	0.6539	2.8153	0.4198	0.5105	0.7560	(null)	(null)	(null)	2020-10-23	11:18:40.241	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 291	Session 1	291	PSC_2.5mm	190.3399	131.0542	173.3118	-0.0153	0.9364	0.3505	-0.6932	-0.2625	0.6712	0.7206	-0.2327	0.6532	2.7800	0.4157	0.4383	0.7565	(null)	(null)	(null)	2020-10-23	11:18:40.741	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 292	Session 1	292	PSC_2.5mm	190.3065	131.0528	173.3515	-0.0155	0.9369	0.3493	-0.6917	-0.2623	0.6729	0.7220	-0.2311	0.6521	2.7783	0.3903	0.4070	0.7100	(null)	(null)	(null)	2020-10-23	11:18:41.339	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 293	Session 1	293	PSC_2.5mm	190.2458	131.5597	173.6102	-0.0072	0.9363	0.3512	-0.6899	-0.2589	0.6760	0.7239	-0.2374	0.6478	2.7647	0.2058	0.1028	0.4696	(null)	(null)	(null)	2020-10-23	11:18:51.534	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 294	Session 1	294	PSC_2.5mm	190.3833	131.3856	173.4083	-0.0095	0.9355	0.3531	-0.6906	-0.2616	0.6743	0.7232	-0.2374	0.6485	2.7732	0.1853	0.1354	0.6440	(null)	(null)	(null)	2020-10-23	11:18:52.035	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 295	Session 1	295	PSC_2.5mm	190.3714	131.1139	173.4101	-0.0088	0.9356	0.3531	-0.6886	-0.2617	0.6763	0.7251	-0.2371	0.6465	2.8401	0.2981	0.0965	0.6144	(null)	(null)	(null)	2020-10-23	11:18:52.535	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 296	Session 1	296	PSC_2.5mm	190.3894	131.1808	173.3283	-0.0085	0.9353	0.3538	-0.6889	-0.2620	0.6758	0.7248	-0.2380	0.6466	2.7857	0.3063	0.1351	0.6368	(null)	(null)	(null)	2020-10-23	11:18:53.035	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 297	Session 1	297	PSC_2.5mm	190.5030	131.0331	173.2123	-0.0069	0.9351	0.3544	-0.6891	-0.2613	0.6759	0.7246	-0.2396	0.6462	2.8592	0.5182	0.2260	0.6006	(null)	(null)	(null)	2020-10-23	11:18:53.536	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 298	Session 1	298	PSC_2.5mm	190.4431	131.0282	173.1916	-0.0074	0.9351	0.3544	-0.6898	-0.2613	0.6752	0.7240	-0.2394	0.6470	2.8034	0.5142	0.2121	0.6146	(null)	(null)	(null)	2020-10-23	11:18:54.037	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 299	Session 1	299	PSC_2.5mm	190.5210	130.9920	173.2083	-0.0054	0.9350	0.3546	-0.6902	-0.2601	0.6753	0.7236	-0.2411	0.6467	2.8858	0.5531	0.3083	0.5487	(null)	(null)	(null)	2020-10-23	11:18:54.538	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 300	Session 1	300	PSC_2.5mm	190.6013	130.9304	173.0199	0.0017	0.9358	0.3526	-0.6910	-0.2538	0.6769	0.7229	-0.2448	0.6462	2.8835	0.7470	0.5275	0.1774	(null)	(null)	(null)	2020-10-23	11:18:55.038	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 301	Session 1	301	PSC_2.5mm	190.5972	130.8762	173.1574	-0.0010	0.9344	0.3561	-0.6877	-0.2592	0.6782	0.7260	-0.2442	0.6429	2.9640	0.6746	0.5527	0.4404	(null)	(null)	(null)	2020-10-23	11:19:05.445	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 302	Session 1	302	PSC_2.5mm	190.5392	130.9466	173.3448	0.0022	0.9339	0.3574	-0.6874	-0.2582	0.6788	0.7263	-0.2472	0.6414	2.9872	0.4772	0.7448	0.3712	(null)	(null)	(null)	2020-10-23	11:19:06.043	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
