# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC	171.7500	127.0400	160.3100	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 4	181.9895	108.8090	169.3683	-0.4415	0.7817	0.4404	-0.7249	-0.6000	0.3384	0.5288	-0.1699	0.8316
Sample 24	173.0678	109.2855	173.9324	-0.2234	0.8603	0.4583	-0.7404	-0.4556	0.4942	0.6339	-0.2290	0.7387
Sample 32	168.5088	123.5278	181.1368	-0.2808	0.8796	0.3841	-0.7689	-0.4457	0.4585	0.5744	-0.1666	0.8014
Sample 53	175.3887	125.5982	176.3578	-0.1570	0.9411	0.2995	-0.8286	-0.2905	0.4785	0.5373	-0.1730	0.8254
Sample 1	182.6344	122.1176	174.1042	-0.7063	0.0338	0.7071	-0.2034	-0.9664	-0.1571	0.6780	-0.2548	0.6894
PMC_1.5mm	183.3125	121.8628	174.7936	-0.7063	0.0338	0.7071	-0.2034	-0.9664	-0.1571	0.6780	-0.2548	0.6894
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 622	Session 1	622	PMC_1.5mm	182.6151	122.5220	173.7319	-0.7023	0.0530	0.7099	-0.2060	-0.9697	-0.1314	0.6814	-0.2385	0.6920	1.4311	0.4232	0.9611	-1.1352	(null)	(null)	(null)	2020-10-16	13:17:40.732	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 623	Session 1	623	PMC_1.5mm	182.6862	122.3567	173.7433	-0.7024	0.0516	0.7099	-0.2053	-0.9696	-0.1328	0.6815	-0.2390	0.6917	1.3188	0.3507	0.9336	-1.0569	(null)	(null)	(null)	2020-10-16	13:17:41.233	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 624	Session 1	624	PMC_1.5mm	182.6817	122.5821	173.6675	-0.7023	0.0511	0.7100	-0.2054	-0.9695	-0.1335	0.6816	-0.2396	0.6914	1.4776	0.5258	0.9006	-1.0307	(null)	(null)	(null)	2020-10-16	13:17:41.832	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 625	Session 1	625	PMC_1.5mm	182.7670	122.5544	173.6469	-0.7012	0.0517	0.7111	-0.2066	-0.9693	-0.1332	0.6824	-0.2404	0.6904	1.4460	0.5671	0.8649	-1.0907	(null)	(null)	(null)	2020-10-16	13:17:42.333	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 626	Session 1	626	PMC_1.5mm	182.7990	122.7269	173.6164	-0.7026	0.0474	0.7100	-0.2041	-0.9693	-0.1373	0.6817	-0.2414	0.6907	1.5480	0.7173	0.7968	-0.8252	(null)	(null)	(null)	2020-10-16	13:17:42.932	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 627	Session 1	627	PMC_1.5mm	182.7881	122.4525	173.7017	-0.7028	0.0480	0.7098	-0.2024	-0.9700	-0.1349	0.6820	-0.2384	0.6914	1.3472	0.4945	0.9696	-0.8534	(null)	(null)	(null)	2020-10-16	13:17:43.433	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 628	Session 1	628	PMC_1.5mm	182.8172	122.4887	173.6410	-0.7026	0.0488	0.7099	-0.2022	-0.9702	-0.1333	0.6823	-0.2372	0.6915	1.4020	0.5642	1.0439	-0.9044	(null)	(null)	(null)	2020-10-16	13:17:44.033	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 629	Session 1	629	PMC_1.5mm	182.8466	122.5726	173.4775	-0.7015	0.0508	0.7108	-0.2034	-0.9702	-0.1315	0.6830	-0.2369	0.6910	1.5662	0.7107	1.0691	-1.0314	(null)	(null)	(null)	2020-10-16	13:17:44.631	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 630	Session 1	630	PMC_1.5mm	182.5902	122.4533	173.7936	-0.7026	0.0500	0.7099	-0.1966	-0.9723	-0.1261	0.6839	-0.2282	0.6930	1.3676	0.3514	1.5752	-0.9699	(null)	(null)	(null)	2020-10-16	13:17:54.632	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 631	Session 1	631	PMC_1.5mm	182.6521	122.4643	173.7086	-0.7023	0.0496	0.7102	-0.1973	-0.9720	-0.1273	0.6840	-0.2295	0.6924	1.4054	0.4204	1.4969	-0.9515	(null)	(null)	(null)	2020-10-16	13:17:55.133	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 632	Session 1	632	PMC_1.5mm	182.6144	122.5848	173.6271	-0.7021	0.0488	0.7104	-0.1974	-0.9719	-0.1284	0.6842	-0.2304	0.6920	1.5393	0.5134	1.4489	-0.9123	(null)	(null)	(null)	2020-10-16	13:17:55.634	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 633	Session 1	633	PMC_1.5mm	182.8153	122.2241	173.5257	-0.7025	0.0510	0.7099	-0.1969	-0.9724	-0.1250	0.6839	-0.2275	0.6932	1.4090	0.5407	1.6119	-1.0244	(null)	(null)	(null)	2020-10-16	13:17:56.233	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 634	Session 1	634	PMC_1.5mm	182.9086	122.3977	173.3194	-0.7022	0.0491	0.7103	-0.1959	-0.9724	-0.1265	0.6845	-0.2280	0.6924	1.6194	0.7801	1.5865	-0.9256	(null)	(null)	(null)	2020-10-16	13:17:56.734	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 635	Session 1	635	PMC_1.5mm	182.8951	122.2873	173.4958	-0.7028	0.0496	0.7096	-0.1962	-0.9724	-0.1263	0.6838	-0.2280	0.6932	1.4278	0.6291	1.5851	-0.9412	(null)	(null)	(null)	2020-10-16	13:17:57.235	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 636	Session 1	636	PMC_1.5mm	182.8543	122.5707	173.4349	-0.7039	0.0477	0.7087	-0.1959	-0.9721	-0.1292	0.6828	-0.2297	0.6936	1.5991	0.7395	1.4802	-0.8134	(null)	(null)	(null)	2020-10-16	13:17:57.834	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 637	Session 1	637	PMC_1.5mm	182.9124	122.6223	173.5311	-0.7051	0.0447	0.7077	-0.1947	-0.9718	-0.1327	0.6819	-0.2314	0.6939	1.5267	0.7591	1.3833	-0.6236	(null)	(null)	(null)	2020-10-16	13:17:58.335	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 638	Session 1	638	PMC_1.5mm	182.6181	122.3148	173.5268	-0.7098	0.0462	0.7029	-0.1924	-0.9726	-0.1303	0.6777	-0.2277	0.6992	1.5137	0.4022	1.6522	-0.6125	(null)	(null)	(null)	2020-10-16	13:18:08.528	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 639	Session 1	639	PMC_1.5mm	182.5641	122.4758	173.4682	-0.7095	0.0467	0.7032	-0.1938	-0.9722	-0.1310	0.6776	-0.2293	0.6988	1.6410	0.4643	1.5578	-0.6443	(null)	(null)	(null)	2020-10-16	13:18:09.029	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 640	Session 1	640	PMC_1.5mm	182.5567	122.2395	173.5892	-0.7080	0.0475	0.7046	-0.1927	-0.9729	-0.1281	0.6794	-0.2265	0.6979	1.4709	0.3031	1.6952	-0.7202	(null)	(null)	(null)	2020-10-16	13:18:09.531	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 641	Session 1	641	PMC_1.5mm	182.5787	122.3580	173.5238	-0.7083	0.0484	0.7043	-0.1934	-0.9728	-0.1277	0.6789	-0.2267	0.6984	1.5480	0.3930	1.6913	-0.7634	(null)	(null)	(null)	2020-10-16	13:18:10.032	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 642	Session 1	642	PMC_1.5mm	182.6115	122.1663	173.4466	-0.7065	0.0502	0.7060	-0.1945	-0.9728	-0.1254	0.6805	-0.2259	0.6970	1.5485	0.4406	1.7149	-0.9003	(null)	(null)	(null)	2020-10-16	13:18:10.533	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 643	Session 1	643	PMC_1.5mm	182.6042	122.2511	173.4996	-0.7070	0.0489	0.7055	-0.1940	-0.9727	-0.1270	0.6801	-0.2267	0.6972	1.5254	0.4005	1.6760	-0.8170	(null)	(null)	(null)	2020-10-16	13:18:11.034	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 644	Session 1	644	PMC_1.5mm	182.6128	122.3957	173.4352	-0.7059	0.0479	0.7067	-0.1951	-0.9723	-0.1289	0.6810	-0.2288	0.6956	1.6183	0.4866	1.5384	-0.7883	(null)	(null)	(null)	2020-10-16	13:18:11.535	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 645	Session 1	645	PMC_1.5mm	182.6727	122.2470	173.3705	-0.7050	0.0489	0.7075	-0.1941	-0.9728	-0.1262	0.6821	-0.2263	0.6953	1.6069	0.5415	1.6827	-0.8603	(null)	(null)	(null)	2020-10-16	13:18:12.036	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 646	Session 1	646	PMC_1.5mm	182.5135	122.2403	173.4979	-0.7067	0.0604	0.7050	-0.2074	-0.9703	-0.1248	0.6765	-0.2344	0.6982	1.5684	0.3283	1.2755	-1.4503	(null)	(null)	(null)	2020-10-16	13:18:22.437	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 647	Session 1	647	PMC_1.5mm	182.5080	122.1560	173.6020	-0.7071	0.0592	0.7047	-0.2063	-0.9704	-0.1255	0.6764	-0.2341	0.6984	1.4674	0.2554	1.2956	-1.3796	(null)	(null)	(null)	2020-10-16	13:18:23.037	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 648	Session 1	648	PMC_1.5mm	182.5994	122.0527	173.3881	-0.7069	0.0596	0.7047	-0.2061	-0.9706	-0.1246	0.6766	-0.2333	0.6984	1.5875	0.4946	1.3384	-1.4054	(null)	(null)	(null)	2020-10-16	13:18:23.538	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 649	Session 1	649	PMC_1.5mm	182.6373	122.2016	173.3150	-0.7066	0.0613	0.7049	-0.2072	-0.9705	-0.1234	0.6765	-0.2333	0.6985	1.6604	0.5444	1.3392	-1.5001	(null)	(null)	(null)	2020-10-16	13:18:24.137	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 650	Session 1	650	PMC_1.5mm	182.7039	122.2091	173.2415	-0.7067	0.0621	0.7048	-0.2073	-0.9706	-0.1223	0.6765	-0.2326	0.6988	1.7028	0.6426	1.3830	-1.5469	(null)	(null)	(null)	2020-10-16	13:18:24.638	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
