# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC3	169.0000	152.0000	177.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 15	183.9640	164.7125	181.1867	-0.7189	0.6064	0.3398	-0.3357	-0.7310	0.5941	0.6087	0.3130	0.7291
Sample 21	175.0627	165.0950	191.5577	-0.7228	0.6133	0.3185	-0.3022	-0.6949	0.6525	0.6215	0.3754	0.6876
Sample 35	178.2895	170.2562	186.1689	-0.7196	0.6266	0.2991	-0.3097	-0.6752	0.6695	0.6215	0.3891	0.6799
Sample 42	176.9343	178.1451	183.1740	-0.6800	0.6750	0.2864	-0.3414	-0.6371	0.6911	0.6489	0.3721	0.6636
Sample 62	173.8921	181.7544	184.1961	-0.6945	0.6643	0.2762	-0.3156	-0.6263	0.7129	0.6465	0.4080	0.6446
Sample 1	179.4184	151.9376	193.6152	-0.6238	0.6670	0.4074	-0.4964	-0.7407	0.4526	0.6037	0.0801	0.7932
PMC_2.5mm	179.4184	151.9376	193.6152	-0.6238	0.6670	0.4074	-0.4964	-0.7407	0.4526	0.6037	0.0801	0.7932
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 544	Session 1	544	PMC_2.5mm	175.1724	151.4707	187.3310	-0.6158	0.6736	0.4087	-0.5130	-0.7365	0.4410	0.5981	0.0619	0.7991	7.5985	0.3661	1.1440	-0.4757	(null)	(null)	(null)	2020-11-09	12:29:15.687	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 545	Session 1	545	PMC_2.5mm	175.1772	151.7048	187.3010	-0.6160	0.6734	0.4087	-0.5125	-0.7366	0.4413	0.5982	0.0625	0.7989	7.6100	0.4590	1.1065	-0.4606	(null)	(null)	(null)	2020-11-09	12:29:16.188	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 546	Session 1	546	PMC_2.5mm	175.1928	151.6504	187.2296	-0.6166	0.6722	0.4099	-0.5122	-0.7379	0.4396	0.5979	0.0611	0.7992	7.6625	0.4773	1.1866	-0.3614	(null)	(null)	(null)	2020-11-09	12:29:16.787	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 547	Session 1	547	PMC_2.5mm	175.0989	151.4256	187.3524	-0.6169	0.6728	0.4083	-0.5108	-0.7370	0.4426	0.5987	0.0644	0.7984	7.6252	0.3024	0.9870	-0.4169	(null)	(null)	(null)	2020-11-09	12:29:17.288	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 548	Session 1	548	PMC_2.5mm	175.0882	151.4177	187.2985	-0.6170	0.6726	0.4087	-0.5111	-0.7373	0.4418	0.5984	0.0637	0.7986	7.6760	0.3241	1.0338	-0.3978	(null)	(null)	(null)	2020-11-09	12:29:17.887	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 549	Session 1	549	PMC_2.5mm	175.0612	151.4160	187.2821	-0.6180	0.6719	0.4083	-0.5108	-0.7379	0.4411	0.5977	0.0640	0.7992	7.7049	0.3050	1.0412	-0.3490	(null)	(null)	(null)	2020-11-09	12:29:18.388	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 550	Session 1	550	PMC_2.5mm	175.1357	151.3535	187.3454	-0.6169	0.6733	0.4075	-0.5119	-0.7365	0.4421	0.5979	0.0641	0.7990	7.6153	0.3413	1.0287	-0.4633	(null)	(null)	(null)	2020-11-09	12:29:18.889	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 551	Session 1	551	PMC_2.5mm	175.2018	151.4970	187.1374	-0.6169	0.6725	0.4089	-0.5111	-0.7374	0.4417	0.5985	0.0635	0.7986	7.7418	0.5135	1.0404	-0.3911	(null)	(null)	(null)	2020-11-09	12:29:19.487	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 552	Session 1	552	PMC_2.5mm	174.7764	151.0540	187.3184	-0.6275	0.6677	0.4006	-0.5012	-0.7401	0.4484	0.5959	0.0806	0.7990	7.8726	0.2537	0.5603	-0.0988	(null)	(null)	(null)	2020-11-09	12:29:29.578	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 553	Session 1	553	PMC_2.5mm	175.0342	151.1580	187.2627	-0.6292	0.6666	0.3998	-0.5004	-0.7410	0.4479	0.5948	0.0817	0.7997	7.7578	0.3099	0.6396	-0.0251	(null)	(null)	(null)	2020-11-09	12:29:30.079	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
