# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PSC	176.0000	159.0000	172.5000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Hotspot	185.7036	160.7943	184.9780	-0.7536	0.6250	0.2036	-0.3979	-0.6803	0.6156	0.5233	0.3829	0.7613
PSC_2mm_reversecurrent	188.8427	159.1656	184.7636	-0.7594	0.3394	0.5551	-0.1944	-0.9325	0.3043	0.6209	0.1232	0.7741
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 490	Session 1	490	PSC_2mm_reversecurrent	185.6926	158.6772	179.6577	-0.7538	0.3397	0.5626	-0.2163	-0.9366	0.2758	0.6206	0.0862	0.7794	6.0192	0.7165	2.1397	0.0511	(null)	(null)	(null)	2020-11-02	12:30:28.023	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 491	Session 1	491	PSC_2mm_reversecurrent	185.6746	159.0261	179.6584	-0.7552	0.3394	0.5608	-0.2168	-0.9367	0.2750	0.6186	0.0861	0.7810	6.0100	0.7823	2.1664	0.0522	(null)	(null)	(null)	2020-11-02	12:30:28.524	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 492	Session 1	492	PSC_2mm_reversecurrent	185.5133	159.0367	179.8754	-0.7555	0.3410	0.5593	-0.2175	-0.9360	0.2768	0.6179	0.0875	0.7814	5.9158	0.5720	2.0953	-0.0543	(null)	(null)	(null)	2020-11-02	12:30:29.025	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 493	Session 1	493	PSC_2mm_reversecurrent	185.2985	159.3109	179.9455	-0.7563	0.3427	0.5572	-0.2200	-0.9354	0.2767	0.6161	0.0867	0.7829	5.9830	0.6908	2.1684	-0.1763	(null)	(null)	(null)	2020-11-02	12:30:29.527	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 494	Session 1	494	PSC_2mm_reversecurrent	185.3339	158.9846	179.9070	-0.7572	0.3428	0.5561	-0.2187	-0.9352	0.2786	0.6155	0.0894	0.7830	5.9942	0.4297	2.0279	-0.1875	(null)	(null)	(null)	2020-11-02	12:30:30.029	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 495	Session 1	495	PSC_2mm_reversecurrent	185.4055	158.7543	179.9213	-0.7578	0.3424	0.5554	-0.2192	-0.9353	0.2777	0.6146	0.0887	0.7838	5.9524	0.3059	2.0855	-0.1755	(null)	(null)	(null)	2020-11-02	12:30:30.530	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 496	Session 1	496	PSC_2mm_reversecurrent	185.5266	158.6072	179.8234	-0.7586	0.3422	0.5544	-0.2189	-0.9354	0.2778	0.6136	0.0894	0.7845	5.9761	0.4325	2.0659	-0.1718	(null)	(null)	(null)	2020-11-02	12:30:31.032	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 497	Session 1	497	PSC_2mm_reversecurrent	185.7088	158.7241	179.6720	-0.7570	0.3438	0.5557	-0.2216	-0.9351	0.2766	0.6147	0.0863	0.7840	5.9951	0.6791	2.2170	-0.2508	(null)	(null)	(null)	2020-11-02	12:30:31.534	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 498	Session 1	498	PSC_2mm_reversecurrent	185.9567	157.8432	179.5299	-0.7502	0.3358	0.5696	-0.2125	-0.9382	0.2733	0.6261	0.0840	0.7752	6.1212	1.3291	2.2671	0.3414	(null)	(null)	(null)	2020-11-02	12:30:41.925	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 499	Session 1	499	PSC_2mm_reversecurrent	185.8036	157.9020	179.4111	-0.7549	0.3315	0.5659	-0.2050	-0.9389	0.2765	0.6230	0.0927	0.7767	6.2834	1.1996	1.7557	0.5623	(null)	(null)	(null)	2020-11-02	12:30:42.426	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 500	Session 1	500	PSC_2mm_reversecurrent	185.7660	158.0826	179.4478	-0.7556	0.3321	0.5646	-0.2071	-0.9388	0.2751	0.6214	0.0909	0.7782	6.2367	1.0537	1.8621	0.5111	(null)	(null)	(null)	2020-11-02	12:30:42.928	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 501	Session 1	501	PSC_2mm_reversecurrent	185.6865	158.4002	179.4966	-0.7583	0.3313	0.5615	-0.2078	-0.9391	0.2735	0.6179	0.0907	0.7810	6.1878	0.8203	1.9088	0.5309	(null)	(null)	(null)	2020-11-02	12:30:43.429	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 502	Session 1	502	PSC_2mm_reversecurrent	185.7100	158.6741	179.3736	-0.7615	0.3315	0.5570	-0.2082	-0.9389	0.2742	0.6138	0.0928	0.7840	6.2536	0.8605	1.8740	0.4759	(null)	(null)	(null)	2020-11-02	12:30:43.931	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 503	Session 1	503	PSC_2mm_reversecurrent	185.6501	158.8098	179.4300	-0.7608	0.3331	0.5569	-0.2094	-0.9383	0.2752	0.6143	0.0927	0.7836	6.2263	0.8076	1.8665	0.3840	(null)	(null)	(null)	2020-11-02	12:30:44.432	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 504	Session 1	504	PSC_2mm_reversecurrent	185.5484	159.0410	179.5339	-0.7602	0.3348	0.5567	-0.2125	-0.9380	0.2739	0.6139	0.0899	0.7843	6.1821	0.7616	2.0318	0.2810	(null)	(null)	(null)	2020-11-02	12:30:44.934	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 505	Session 1	505	PSC_2mm_reversecurrent	185.5247	159.3056	179.4645	-0.7612	0.3347	0.5554	-0.2129	-0.9380	0.2734	0.6125	0.0899	0.7853	6.2537	0.9489	2.0710	0.2788	(null)	(null)	(null)	2020-11-02	12:30:45.435	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 506	Session 1	506	PSC_2mm_reversecurrent	185.5179	158.8011	179.8257	-0.7794	0.3211	0.5380	-0.1915	-0.9397	0.2834	0.5966	0.1178	0.7938	5.9640	0.4582	1.8201	0.9041	(null)	(null)	(null)	2020-11-02	12:30:55.840	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 507	Session 1	507	PSC_2mm_reversecurrent	185.4979	158.7501	179.9053	-0.7816	0.3199	0.5355	-0.1886	-0.9395	0.2859	0.5945	0.1225	0.7947	5.9130	0.3869	1.9167	0.9469	(null)	(null)	(null)	2020-11-02	12:30:56.439	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 508	Session 1	508	PSC_2mm_reversecurrent	185.7603	159.0058	179.8158	-0.7873	0.3153	0.5298	-0.1850	-0.9406	0.2848	0.5881	0.1262	0.7989	5.8316	0.7308	2.3612	1.1588	(null)	(null)	(null)	2020-11-02	12:30:56.940	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 509	Session 1	509	PSC_2mm_reversecurrent	185.8064	159.3537	179.7105	-0.7893	0.3140	0.5277	-0.1840	-0.9408	0.2846	0.5858	0.1275	0.8003	5.8982	1.0772	2.5219	1.2117	(null)	(null)	(null)	2020-11-02	12:30:57.540	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 510	Session 1	510	PSC_2mm_reversecurrent	185.6817	159.1083	179.7002	-0.7814	0.3183	0.5367	-0.1832	-0.9392	0.2904	0.5965	0.1286	0.7922	5.9694	0.8787	1.7691	1.0502	(null)	(null)	(null)	2020-11-02	12:30:58.138	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 511	Session 1	511	PSC_2mm_reversecurrent	185.6435	159.4365	179.5930	-0.7818	0.3150	0.5381	-0.1782	-0.9399	0.2913	0.5975	0.1319	0.7910	6.0863	1.2068	1.7262	1.2554	(null)	(null)	(null)	2020-11-02	12:30:58.639	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 512	Session 1	512	PSC_2mm_reversecurrent	185.8826	159.3466	179.6875	-0.7860	0.3136	0.5328	-0.1720	-0.9387	0.2988	0.5939	0.1432	0.7917	5.8789	1.2203	2.1756	1.2859	(null)	(null)	(null)	2020-11-02	12:30:59.239	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 513	Session 1	513	PSC_2mm_reversecurrent	186.0115	159.1021	179.6449	-0.7869	0.3128	0.5320	-0.1696	-0.9385	0.3008	0.5933	0.1465	0.7915	5.8498	1.1248	2.2961	1.3268	(null)	(null)	(null)	2020-11-02	12:30:59.740	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 514	Session 1	514	PSC_2mm_reversecurrent	185.2390	158.8132	179.6818	-0.7647	0.3456	0.5439	-0.2047	-0.9306	0.3036	0.6110	0.1208	0.7823	6.2399	0.4946	0.7488	-0.4704	(null)	(null)	(null)	2020-11-02	12:31:09.741	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 515	Session 1	515	PSC_2mm_reversecurrent	184.9159	158.5654	180.0375	-0.7663	0.3481	0.5400	-0.2063	-0.9293	0.3063	0.6084	0.1233	0.7840	6.1738	0.2605	0.9097	-0.6532	(null)	(null)	(null)	2020-11-02	12:31:10.242	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 516	Session 1	516	PSC_2mm_reversecurrent	185.2792	158.7347	179.6827	-0.7657	0.3476	0.5412	-0.2058	-0.9296	0.3057	0.6094	0.1227	0.7833	6.2210	0.4528	0.8473	-0.6076	(null)	(null)	(null)	2020-11-02	12:31:10.840	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 517	Session 1	517	PSC_2mm_reversecurrent	185.1686	158.9402	179.7131	-0.7651	0.3483	0.5416	-0.2068	-0.9294	0.3055	0.6098	0.1217	0.7832	6.2496	0.5736	0.8268	-0.6476	(null)	(null)	(null)	2020-11-02	12:31:11.342	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 518	Session 1	518	PSC_2mm_reversecurrent	185.1773	159.0049	179.8511	-0.7674	0.3467	0.5393	-0.2059	-0.9299	0.3049	0.6072	0.1230	0.7850	6.1313	0.6035	1.0041	-0.5778	(null)	(null)	(null)	2020-11-02	12:31:11.941	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 519	Session 1	519	PSC_2mm_reversecurrent	185.3119	158.8481	179.6477	-0.7660	0.3488	0.5399	-0.2064	-0.9290	0.3072	0.6087	0.1239	0.7836	6.2242	0.5731	0.8863	-0.6898	(null)	(null)	(null)	2020-11-02	12:31:12.442	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 520	Session 1	520	PSC_2mm_reversecurrent	185.3425	158.7941	179.7138	-0.7658	0.3492	0.5400	-0.2068	-0.9288	0.3074	0.6090	0.1237	0.7835	6.1555	0.5147	0.8701	-0.7162	(null)	(null)	(null)	2020-11-02	12:31:13.041	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 521	Session 1	521	PSC_2mm_reversecurrent	185.4085	158.6841	179.6777	-0.7662	0.3508	0.5385	-0.2074	-0.9280	0.3095	0.6083	0.1255	0.7838	6.1557	0.4986	0.9208	-0.8234	(null)	(null)	(null)	2020-11-02	12:31:13.542	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 522	Session 1	522	PSC_2mm_reversecurrent	185.2227	158.5428	179.5797	-0.7626	0.3488	0.5447	-0.1956	-0.9271	0.3198	0.6166	0.1374	0.7752	6.3533	0.4663	0.8518	-0.6474	(null)	(null)	(null)	2020-11-02	12:31:23.640	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 523	Session 1	523	PSC_2mm_reversecurrent	185.2463	158.4156	179.6254	-0.7639	0.3481	0.5435	-0.1945	-0.9271	0.3204	0.6154	0.1391	0.7759	6.3165	0.3965	0.9712	-0.6165	(null)	(null)	(null)	2020-11-02	12:31:24.141	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 524	Session 1	524	PSC_2mm_reversecurrent	185.2064	158.4782	179.8182	-0.7648	0.3486	0.5417	-0.1940	-0.9265	0.3224	0.6143	0.1415	0.7763	6.1767	0.2872	1.1229	-0.6646	(null)	(null)	(null)	2020-11-02	12:31:24.641	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 525	Session 1	525	PSC_2mm_reversecurrent	185.2398	158.2693	179.9073	-0.7670	0.3487	0.5386	-0.1914	-0.9256	0.3267	0.6124	0.1475	0.7767	6.1129	0.1776	1.4835	-0.7008	(null)	(null)	(null)	2020-11-02	12:31:25.143	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 526	Session 1	526	PSC_2mm_reversecurrent	184.9047	158.4970	180.1024	-0.7651	0.3507	0.5400	-0.1934	-0.9251	0.3269	0.6142	0.1456	0.7756	6.1385	0.2981	1.3463	-0.8057	(null)	(null)	(null)	2020-11-02	12:31:25.644	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 527	Session 1	527	PSC_2mm_reversecurrent	184.9067	158.4150	179.9840	-0.7626	0.3525	0.5424	-0.1936	-0.9244	0.3286	0.6172	0.1456	0.7732	6.2370	0.1844	1.3009	-0.8874	(null)	(null)	(null)	2020-11-02	12:31:26.243	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
