# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC3	169.0000	152.0000	177.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 2	167.3066	146.7373	202.2494	-0.7200	0.6505	0.2418	-0.4642	-0.7104	0.5289	0.5159	0.2685	0.8135
Sample 21	174.7373	156.4868	195.6534	-0.7295	0.6515	0.2082	-0.4535	-0.6886	0.5658	0.5120	0.3183	0.7978
Sample 35	179.1651	161.9122	191.6092	-0.7447	0.6428	0.1794	-0.4384	-0.6739	0.5947	0.5032	0.3643	0.7837
Sample 58	182.2600	166.3140	187.6462	-0.7452	0.6461	0.1648	-0.4424	-0.6640	0.6029	0.4990	0.3763	0.7806
Sample 1	179.1166	151.8975	193.2186	-0.6238	0.6670	0.4074	-0.4964	-0.7407	0.4526	0.6037	0.0801	0.7932
PMC_visit5_2mm	179.1166	151.8975	193.2186	-0.6238	0.6670	0.4074	-0.4964	-0.7407	0.4526	0.6037	0.0801	0.7932
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 300	Session 1	300	PMC_visit5_2mm	177.1687	151.1391	189.9314	-0.6516	0.6496	0.3916	-0.4888	-0.7544	0.4381	0.5800	0.0940	0.8091	3.8956	0.5177	1.8177	1.1202	(null)	(null)	(null)	2020-11-16	12:17:54.492	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 301	Session 1	301	PMC_visit5_2mm	177.1423	151.1769	190.0186	-0.6524	0.6494	0.3907	-0.4899	-0.7547	0.4363	0.5782	0.0932	0.8106	3.8284	0.4452	1.9214	1.1298	(null)	(null)	(null)	2020-11-16	12:17:55.090	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 302	Session 1	302	PMC_visit5_2mm	177.1032	151.1226	189.9473	-0.6519	0.6500	0.3904	-0.4915	-0.7543	0.4353	0.5774	0.0919	0.8112	3.9186	0.4919	1.9450	1.0808	(null)	(null)	(null)	2020-11-16	12:17:55.592	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 303	Session 1	303	PMC_visit5_2mm	177.0545	151.2796	190.0064	-0.6523	0.6505	0.3891	-0.4937	-0.7541	0.4332	0.5752	0.0905	0.8130	3.8668	0.3203	2.0762	1.0341	(null)	(null)	(null)	2020-11-16	12:17:56.190	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 304	Session 1	304	PMC_visit5_2mm	176.9034	151.2058	190.1181	-0.6501	0.6520	0.3901	-0.4926	-0.7526	0.4370	0.5785	0.0919	0.8105	3.8717	0.3386	1.8751	0.9351	(null)	(null)	(null)	2020-11-16	12:17:56.691	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 305	Session 1	305	PMC_visit5_2mm	176.9770	151.3516	189.9873	-0.6498	0.6519	0.3910	-0.4946	-0.7532	0.4337	0.5772	0.0884	0.8118	3.9137	0.2391	1.9143	0.9567	(null)	(null)	(null)	2020-11-16	12:17:57.191	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 306	Session 1	306	PMC_visit5_2mm	177.0802	151.0175	190.1423	-0.6479	0.6540	0.3905	-0.4980	-0.7516	0.4325	0.5764	0.0858	0.8127	3.7927	0.5729	1.9493	0.8004	(null)	(null)	(null)	2020-11-16	12:17:57.790	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 307	Session 1	307	PMC_visit5_2mm	176.9949	151.1909	190.0809	-0.6485	0.6545	0.3886	-0.4977	-0.7509	0.4341	0.5759	0.0881	0.8128	3.8531	0.3794	2.0009	0.7456	(null)	(null)	(null)	2020-11-16	12:17:58.291	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 308	Session 1	308	PMC_visit5_2mm	177.1151	151.3085	189.9701	-0.6406	0.6565	0.3983	-0.5072	-0.7513	0.4224	0.5765	0.0685	0.8142	3.8608	0.4076	2.0764	0.6917	(null)	(null)	(null)	2020-11-16	12:18:08.383	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 309	Session 1	309	PMC_visit5_2mm	177.1287	151.3240	189.9427	-0.6400	0.6587	0.3957	-0.5093	-0.7492	0.4235	0.5754	0.0695	0.8149	3.8746	0.4054	2.1328	0.5117	(null)	(null)	(null)	2020-11-16	12:18:08.885	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
