# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PSC	171.0000	131.0000	168.5000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 23	176.1799	107.0168	178.0946	-0.6089	0.5885	0.5319	-0.5597	-0.7939	0.2376	0.5621	-0.1530	0.8128
Sample 34	182.3530	118.3131	176.5657	-0.7098	0.4695	0.5251	-0.4573	-0.8742	0.1634	0.5358	-0.1242	0.8352
Sample 50	180.8325	124.5694	177.2925	-0.6993	0.4423	0.5616	-0.4278	-0.8883	0.1670	0.5727	-0.1234	0.8104
PSC_2.0mm_rev	185.4107	131.8109	183.0297	-0.7155	0.1032	0.6909	-0.1841	-0.9819	-0.0440	0.6739	-0.1586	0.7216
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 485	Session 1	485	PSC_2.0mm_rev	180.6082	132.2196	178.5218	-0.6966	0.1114	0.7088	-0.1977	-0.9794	-0.0404	0.6897	-0.1683	0.7043	6.5994	0.7570	1.4538	-0.7052	(null)	(null)	(null)	2020-11-03	12:13:50.029	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 486	Session 1	486	PSC_2.0mm_rev	180.4189	132.5113	178.4082	-0.6970	0.1140	0.7080	-0.1980	-0.9795	-0.0371	0.6892	-0.1661	0.7053	6.8386	0.5541	1.3513	-0.8481	(null)	(null)	(null)	2020-11-03	12:13:51.033	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 487	Session 1	487	PSC_2.0mm_rev	180.5804	132.5313	178.3739	-0.7005	0.1110	0.7049	-0.1928	-0.9805	-0.0372	0.6871	-0.1620	0.7083	6.7474	0.4377	1.0898	-0.6300	(null)	(null)	(null)	2020-11-03	12:13:52.036	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 488	Session 1	488	PSC_2.0mm_rev	180.6996	132.4851	178.1069	-0.6996	0.1128	0.7056	-0.1922	-0.9808	-0.0338	0.6882	-0.1593	0.7078	6.8471	0.4230	1.1367	-0.7442	(null)	(null)	(null)	2020-11-03	12:13:53.040	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 489	Session 1	489	PSC_2.0mm_rev	180.4096	133.1436	177.8841	-0.7126	0.1173	0.6917	-0.1858	-0.9823	-0.0249	0.6765	-0.1462	0.7218	7.2983	0.2990	0.7258	-0.8243	(null)	(null)	(null)	2020-11-03	12:14:03.935	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 490	Session 1	490	PSC_2.0mm_rev	180.5090	133.1535	177.8405	-0.7140	0.1183	0.6900	-0.1858	-0.9823	-0.0238	0.6750	-0.1452	0.7234	7.2634	0.2953	0.7806	-0.8631	(null)	(null)	(null)	2020-11-03	12:14:04.938	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 491	Session 1	491	PSC_2.0mm_rev	180.6714	132.9421	177.7258	-0.7118	0.1192	0.6922	-0.1869	-0.9821	-0.0230	0.6771	-0.1457	0.7213	7.2022	0.1931	0.7614	-0.9445	(null)	(null)	(null)	2020-11-03	12:14:05.941	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 492	Session 1	492	PSC_2.0mm_rev	180.8250	132.8580	177.4932	-0.7100	0.1197	0.6939	-0.1871	-0.9821	-0.0220	0.6789	-0.1454	0.7197	7.2649	0.4633	0.8171	-0.9939	(null)	(null)	(null)	2020-11-03	12:14:07.042	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 493	Session 1	493	PSC_2.0mm_rev	180.2735	134.4568	178.0010	-0.7444	0.1031	0.6598	-0.1487	-0.9888	-0.0132	0.6510	-0.1080	0.7514	7.6602	1.9480	3.6128	0.3865	(null)	(null)	(null)	2020-11-03	12:14:17.842	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 494	Session 1	494	PSC_2.0mm_rev	180.9290	132.5072	177.5290	-0.7318	0.0949	0.6749	-0.1374	-0.9905	-0.0097	0.6676	-0.0998	0.7378	7.1294	0.3673	3.5178	0.6811	(null)	(null)	(null)	2020-11-03	12:14:18.943	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
