# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC	170.0000	128.0000	161.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 17	184.4554	112.6368	179.7540	-0.5332	0.6892	0.4906	-0.6750	-0.6962	0.2444	0.5100	-0.2008	0.8364
Sample 27	185.4779	107.6586	178.2163	-0.5946	0.6703	0.4440	-0.6250	-0.7327	0.2692	0.5058	-0.1174	0.8546
Sample 41	179.8817	114.8146	182.6295	-0.5273	0.7466	0.4056	-0.6936	-0.6539	0.3021	0.4907	-0.1220	0.8627
Sample 57	187.0135	120.0489	178.0953	-0.4391	0.8084	0.3920	-0.7306	-0.5753	0.3678	0.5229	-0.1249	0.8432
Sample 62	186.3290	119.9040	176.2479	-0.5760	0.6347	0.5151	-0.5710	-0.7634	0.3021	0.5850	-0.1202	0.8021
PMC_3.5mm	189.7804	125.0724	182.5316	-0.7475	-0.0853	0.6588	-0.0736	-0.9750	-0.2098	0.6602	-0.2053	0.7225
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 349	Session 1	349	PMC_3.5mm	186.4888	126.3725	178.3675	-0.7552	-0.0886	0.6494	-0.0719	-0.9736	-0.2165	0.6515	-0.2101	0.7290	5.4649	0.3573	0.6788	0.3313	(null)	(null)	(null)	2020-10-20	12:37:13.702	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 350	Session 1	350	PMC_3.5mm	186.5732	126.3000	178.3778	-0.7562	-0.0854	0.6487	-0.0745	-0.9737	-0.2151	0.6501	-0.2110	0.7300	5.3895	0.3794	0.7923	0.1650	(null)	(null)	(null)	2020-10-20	12:37:14.203	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 351	Session 1	351	PMC_3.5mm	186.5230	126.6126	178.2579	-0.7557	-0.0890	0.6488	-0.0718	-0.9735	-0.2171	0.6509	-0.2107	0.7293	5.5899	0.5611	0.7269	0.3601	(null)	(null)	(null)	2020-10-20	12:37:14.704	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 352	Session 1	352	PMC_3.5mm	186.5767	126.4483	178.2730	-0.7570	-0.0892	0.6473	-0.0715	-0.9734	-0.2177	0.6495	-0.2110	0.7305	5.5039	0.4899	0.8297	0.3946	(null)	(null)	(null)	2020-10-20	12:37:15.205	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 353	Session 1	353	PMC_3.5mm	186.5740	126.5060	178.1340	-0.7572	-0.0862	0.6475	-0.0717	-0.9743	-0.2135	0.6492	-0.2081	0.7316	5.6280	0.5888	0.8310	0.2278	(null)	(null)	(null)	2020-10-20	12:37:15.705	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 354	Session 1	354	PMC_3.5mm	186.6591	126.3326	178.2232	-0.7532	-0.0860	0.6521	-0.0730	-0.9744	-0.2128	0.6537	-0.2079	0.7276	5.4674	0.5729	0.4976	0.1439	(null)	(null)	(null)	2020-10-20	12:37:16.206	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 355	Session 1	355	PMC_3.5mm	186.6227	126.3083	178.2726	-0.7526	-0.0902	0.6523	-0.0695	-0.9741	-0.2150	0.6548	-0.2071	0.7269	5.4440	0.5177	0.4103	0.3765	(null)	(null)	(null)	2020-10-20	12:37:16.805	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 356	Session 1	356	PMC_3.5mm	186.2319	126.9165	178.2949	-0.7514	-0.0944	0.6530	-0.0690	-0.9731	-0.2200	0.6562	-0.2103	0.7247	5.8260	0.6759	0.3866	0.5926	(null)	(null)	(null)	2020-10-20	12:37:17.306	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 357	Session 1	357	PMC_3.5mm	186.2537	126.2186	178.2676	-0.7597	-0.0864	0.6445	-0.0617	-0.9771	-0.2037	0.6473	-0.1946	0.7369	5.6510	0.1713	1.2690	0.2850	(null)	(null)	(null)	2020-10-20	12:37:27.604	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 358	Session 1	358	PMC_3.5mm	186.4224	126.2516	178.1121	-0.7603	-0.0843	0.6441	-0.0656	-0.9765	-0.2053	0.6463	-0.1983	0.7369	5.6744	0.3937	1.2162	0.1764	(null)	(null)	(null)	2020-10-20	12:37:28.104	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
