# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC	170.8900	118.3900	167.0200	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 7	173.7855	124.8208	190.4943	-0.7456	0.5046	0.4352	-0.4471	-0.8631	0.2349	0.4942	-0.0194	0.8691
Sample 12	178.9185	121.9927	187.6924	-0.7225	0.5205	0.4551	-0.4465	-0.8538	0.2676	0.5279	-0.0099	0.8493
PMC0.5	182.2217	114.4020	179.2485	0.1148	-0.8808	-0.4593	-0.8003	-0.3559	0.4825	-0.5885	0.3122	-0.7458
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 339	Session 1	339	PMC0.5	182.5954	114.0872	179.4699	-0.1681	0.8642	0.4743	-0.7935	-0.4041	0.4550	0.5849	-0.2998	0.7536	0.5364	0.2399	179.1361	3.2007	(null)	(null)	(null)	2020-09-22	14:14:05.020	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 340	Session 1	340	PMC0.5	182.5297	113.9455	179.5877	-0.1688	0.8647	0.4731	-0.7951	-0.4032	0.4531	0.5825	-0.2997	0.7555	0.6467	0.3009	179.0299	3.1904	(null)	(null)	(null)	2020-09-22	14:14:05.522	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 341	Session 1	341	PMC0.5	182.6147	114.2508	179.5394	-0.1679	0.8647	0.4734	-0.7950	-0.4027	0.4537	0.5829	-0.3002	0.7550	0.5118	0.1333	179.0741	3.1515	(null)	(null)	(null)	2020-09-22	14:14:06.024	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 342	Session 1	342	PMC0.5	182.4676	114.3440	179.8132	-0.1672	0.8645	0.4740	-0.7945	-0.4028	0.4544	0.5838	-0.3006	0.7542	0.6187	0.1957	179.1380	3.1409	(null)	(null)	(null)	2020-09-22	14:14:06.525	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 343	Session 1	343	PMC0.5	182.3863	114.1003	179.8519	-0.1675	0.8638	0.4751	-0.7937	-0.4040	0.4547	0.5847	-0.3009	0.7533	0.6944	0.2656	179.1936	3.2021	(null)	(null)	(null)	2020-09-22	14:14:07.026	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 344	Session 1	344	PMC0.5	182.5472	114.6049	179.9299	-0.1659	0.8652	0.4732	-0.7956	-0.4009	0.4541	0.5826	-0.3011	0.7549	0.7820	0.4450	179.1115	3.0468	(null)	(null)	(null)	2020-09-22	14:14:07.528	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 345	Session 1	345	PMC0.5	182.6441	114.6317	179.7125	-0.1663	0.8651	0.4733	-0.7949	-0.4016	0.4548	0.5835	-0.3006	0.7544	0.6681	0.4101	179.1251	3.0697	(null)	(null)	(null)	2020-09-22	14:14:08.127	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 346	Session 1	346	PMC0.5	182.7314	114.6880	179.6338	-0.1659	0.8657	0.4724	-0.7950	-0.4008	0.4553	0.5835	-0.3000	0.7547	0.7000	0.4875	179.0888	3.0129	(null)	(null)	(null)	2020-09-22	14:14:08.727	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 347	Session 1	347	PMC0.5	182.6635	114.5105	179.4766	-0.1304	0.8813	0.4543	-0.7952	-0.3666	0.4829	0.5922	-0.2983	0.7486	0.5089	0.3146	179.1583	0.5687	(null)	(null)	(null)	2020-09-22	14:14:18.926	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 348	Session 1	348	PMC0.5	182.7076	114.1920	179.3683	-0.1289	0.8820	0.4532	-0.7969	-0.3642	0.4821	0.5902	-0.2990	0.7498	0.5427	0.3185	179.2036	0.4563	(null)	(null)	(null)	2020-09-22	14:14:19.428	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
