# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PSC	172.5000	134.5000	162.5000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Subj1_visit4_PSC_ReverseCoil	184.3998	129.1217	182.3451	-0.3033	0.8147	0.4941	-0.7677	-0.5162	0.3798	0.5645	-0.2641	0.7820
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 620	Session 1	620	Subj1_visit4_PSC_ReverseCoil	182.6861	130.1034	180.1202	-0.3161	0.8000	0.5100	-0.7519	-0.5391	0.3795	0.5785	-0.2635	0.7719	2.9750	0.2105	0.9934	1.3440	(null)	(null)	(null)	2020-11-20	11:56:26.564	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 621	Session 1	621	Subj1_visit4_PSC_ReverseCoil	182.4776	129.7571	180.1897	-0.3174	0.7994	0.5100	-0.7512	-0.5402	0.3792	0.5787	-0.2628	0.7720	2.9570	0.2841	0.9986	1.4188	(null)	(null)	(null)	2020-11-20	11:56:27.066	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 622	Session 1	622	Subj1_visit4_PSC_ReverseCoil	182.4886	129.5727	180.2099	-0.3166	0.8000	0.5096	-0.7511	-0.5396	0.3804	0.5793	-0.2623	0.7718	2.9009	0.3990	1.0401	1.3547	(null)	(null)	(null)	2020-11-20	11:56:27.567	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 623	Session 1	623	Subj1_visit4_PSC_ReverseCoil	182.4110	129.7290	180.1121	-0.3158	0.8013	0.5081	-0.7513	-0.5382	0.3818	0.5795	-0.2612	0.7720	3.0513	0.3153	1.0470	1.2504	(null)	(null)	(null)	2020-11-20	11:56:28.069	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 624	Session 1	624	Subj1_visit4_PSC_ReverseCoil	182.2545	129.8795	180.1924	-0.3156	0.8012	0.5084	-0.7517	-0.5381	0.3814	0.5791	-0.2617	0.7721	3.1322	0.4281	1.0264	1.2489	(null)	(null)	(null)	2020-11-20	11:56:28.571	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 625	Session 1	625	Subj1_visit4_PSC_ReverseCoil	182.1944	129.8520	180.2297	-0.3133	0.8033	0.5066	-0.7526	-0.5353	0.3834	0.5792	-0.2612	0.7722	3.1420	0.5020	1.0261	1.0473	(null)	(null)	(null)	2020-11-20	11:56:29.072	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 626	Session 1	626	Subj1_visit4_PSC_ReverseCoil	182.3870	129.9056	180.1055	-0.3123	0.8061	0.5027	-0.7539	-0.5323	0.3851	0.5780	-0.2587	0.7739	3.1115	0.2732	0.9568	0.8380	(null)	(null)	(null)	2020-11-20	11:56:29.574	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 627	Session 1	627	Subj1_visit4_PSC_ReverseCoil	182.3474	129.9582	180.0048	-0.3107	0.8066	0.5028	-0.7540	-0.5312	0.3864	0.5788	-0.2591	0.7732	3.2232	0.2406	1.0065	0.7503	(null)	(null)	(null)	2020-11-20	11:56:30.172	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 628	Session 1	628	Subj1_visit4_PSC_ReverseCoil	182.4907	129.6572	179.7626	-0.3195	0.8062	0.4980	-0.7512	-0.5358	0.3854	0.5776	-0.2510	0.7768	3.2559	0.2879	1.1052	1.0472	(null)	(null)	(null)	2020-11-20	11:56:40.475	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 629	Session 1	629	Subj1_visit4_PSC_ReverseCoil	182.5416	129.7526	179.6672	-0.3181	0.8074	0.4969	-0.7528	-0.5337	0.3853	0.5763	-0.2515	0.7776	3.3200	0.2321	1.0239	0.9276	(null)	(null)	(null)	2020-11-20	11:56:41.074	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 630	Session 1	630	Subj1_visit4_PSC_ReverseCoil	182.5449	129.7157	179.7070	-0.3176	0.8076	0.4969	-0.7525	-0.5335	0.3861	0.5769	-0.2513	0.7772	3.2792	0.2493	1.0608	0.8989	(null)	(null)	(null)	2020-11-20	11:56:41.575	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 631	Session 1	631	Subj1_visit4_PSC_ReverseCoil	182.2562	129.4749	179.9548	-0.3183	0.8069	0.4976	-0.7507	-0.5351	0.3874	0.5789	-0.2503	0.7761	3.2301	0.5419	1.1953	0.9649	(null)	(null)	(null)	2020-11-20	11:56:42.173	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 632	Session 1	632	Subj1_visit4_PSC_ReverseCoil	182.3569	129.7312	179.7553	-0.3173	0.8085	0.4956	-0.7517	-0.5330	0.3884	0.5782	-0.2493	0.7769	3.3544	0.2495	1.1973	0.8272	(null)	(null)	(null)	2020-11-20	11:56:42.674	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
