# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC_Target	158.0200	133.7800	176.8800	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 1	167.7134	134.0920	198.1210	-0.6583	0.7070	0.2582	-0.6655	-0.7070	0.2393	0.3518	-0.0143	0.9360
Sample 6	169.8072	147.1767	196.2742	-0.6258	0.7158	0.3099	-0.5589	-0.6886	0.4620	0.5441	0.1159	0.8310
Sample 15	173.4964	143.0137	193.7057	-0.6162	0.7273	0.3022	-0.5627	-0.6751	0.4772	0.5511	0.1240	0.8252
Sample 19	171.0271	139.6349	195.8459	-0.6097	0.7056	0.3612	-0.5471	-0.7043	0.4523	0.5736	0.0781	0.8154
Sample 1PMCreverse	168.2411	134.0719	199.5249	-0.6583	0.7070	0.2582	-0.6655	-0.7070	0.2393	0.3518	-0.0143	0.9360
hotspot	171.0271	139.6349	195.8459	-0.6097	0.7056	0.3612	-0.5471	-0.7043	0.4523	0.5736	0.0781	0.8154
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 308	Session 1	308	Sample1PMCreverse	168.3831	133.8011	200.4970	-0.6657	0.7006	0.2569	-0.6523	-0.7135	0.2558	0.3625	0.0027	0.9320	1.0191	0.3511	1.1780	0.5210	(null)	(null)	(null)	2020-09-24	11:38:28.247	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 309	Session 1	309	Sample1PMCreverse	168.3375	133.9747	200.4849	-0.6662	0.7002	0.2567	-0.6512	-0.7140	0.2574	0.3635	0.0043	0.9316	0.9697	0.2783	1.2869	0.5588	(null)	(null)	(null)	2020-09-24	11:38:28.748	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 310	Session 1	310	Sample1PMCreverse	168.4997	134.0679	200.5781	-0.6672	0.6992	0.2569	-0.6497	-0.7149	0.2584	0.3644	0.0055	0.9312	1.0845	0.1433	1.3714	0.6383	(null)	(null)	(null)	2020-09-24	11:38:29.249	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 311	Session 1	311	Sample1PMCreverse	168.5688	134.0347	200.5131	-0.6669	0.6996	0.2564	-0.6500	-0.7145	0.2589	0.3643	0.0060	0.9312	1.0418	0.0700	1.3938	0.6046	(null)	(null)	(null)	2020-09-24	11:38:29.751	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 312	Session 1	312	Sample1PMCreverse	168.6161	134.0730	200.6394	-0.6666	0.6997	0.2570	-0.6502	-0.7144	0.2584	0.3644	0.0051	0.9312	1.1759	0.0572	1.3555	0.5982	(null)	(null)	(null)	2020-09-24	11:38:30.252	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 313	Session 1	313	Sample1PMCreverse	168.4499	134.0672	200.5995	-0.6662	0.6999	0.2577	-0.6499	-0.7143	0.2597	0.3659	0.0055	0.9306	1.0947	0.1991	1.4270	0.5824	(null)	(null)	(null)	2020-09-24	11:38:30.753	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 314	Session 1	314	Sample1PMCreverse	168.4384	134.1548	200.5994	-0.6666	0.6991	0.2587	-0.6497	-0.7150	0.2581	0.3654	0.0040	0.9308	1.0956	0.2233	1.3416	0.6444	(null)	(null)	(null)	2020-09-24	11:38:31.255	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 315	Session 1	315	Sample1PMCreverse	168.4404	134.0775	200.5827	-0.6666	0.6993	0.2581	-0.6491	-0.7148	0.2603	0.3665	0.0060	0.9304	1.0764	0.2022	1.4735	0.6283	(null)	(null)	(null)	2020-09-24	11:38:31.756	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 316	Session 1	316	Sample1PMCreverse	168.5860	134.3519	200.4696	-0.6670	0.6913	0.2777	-0.6429	-0.7225	0.2544	0.3766	-0.0088	0.9263	1.0439	0.2911	1.5569	1.2352	(null)	(null)	(null)	2020-09-24	11:38:42.148	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 317	Session 1	317	Sample1PMCreverse	168.5528	134.3850	200.5883	-0.6679	0.6901	0.2788	-0.6424	-0.7237	0.2522	0.3758	-0.0107	0.9266	1.1516	0.3433	1.4932	1.3355	(null)	(null)	(null)	2020-09-24	11:38:42.650	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 318	Session 1	318	Sample1PMCreverse	168.4138	134.4683	200.5831	-0.6695	0.6878	0.2804	-0.6408	-0.7258	0.2503	0.3757	-0.0121	0.9267	1.1431	0.4730	1.4781	1.5094	(null)	(null)	(null)	2020-09-24	11:38:43.151	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 319	Session 1	319	Sample1PMCreverse	168.5700	134.4590	200.4903	-0.6691	0.6882	0.2804	-0.6415	-0.7254	0.2497	0.3752	-0.0128	0.9269	1.0909	0.4042	1.4445	1.4785	(null)	(null)	(null)	2020-09-24	11:38:43.652	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 320	Session 1	320	Sample1PMCreverse	168.6715	134.5271	200.4863	-0.6693	0.6884	0.2795	-0.6415	-0.7252	0.2501	0.3749	-0.0119	0.9270	1.1475	0.4693	1.4287	1.4665	(null)	(null)	(null)	2020-09-24	11:38:44.154	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 321	Session 1	321	Sample1PMCreverse	168.7602	134.6063	200.4948	-0.6703	0.6883	0.2775	-0.6412	-0.7254	0.2504	0.3737	-0.0101	0.9275	1.2230	0.5583	1.3668	1.4813	(null)	(null)	(null)	2020-09-24	11:38:44.655	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 322	Session 1	322	Sample1PMCreverse	168.8248	134.5032	200.7023	-0.6701	0.6883	0.2778	-0.6416	-0.7253	0.2494	0.3732	-0.0111	0.9277	1.3831	0.4574	1.3276	1.4761	(null)	(null)	(null)	2020-09-24	11:38:45.157	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 323	Session 1	323	Sample1PMCreverse	169.0092	134.6542	200.5014	-0.6683	0.6894	0.2796	-0.6413	-0.7243	0.2530	0.3770	-0.0102	0.9262	1.3721	0.6865	1.5672	1.3890	(null)	(null)	(null)	2020-09-24	11:38:45.658	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
