# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PSC	172.5000	138.0000	154.5000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 1	128.0000	128.0000	128.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 3	165.8205	101.9259	182.2156	-0.5594	0.6673	0.4916	-0.6896	-0.7038	0.1707	0.4599	-0.2435	0.8539
Sample 6	177.1317	111.6144	178.0551	-0.4941	0.7128	0.4978	-0.7012	-0.6652	0.2565	0.5140	-0.2223	0.8285
Sample 11	180.4179	125.2005	179.8172	-0.4126	0.7101	0.5706	-0.7012	-0.6474	0.2986	0.5815	-0.2769	0.7650
Sample 18	172.9322	136.4293	188.1106	-0.4233	0.7335	0.5318	-0.7409	-0.6181	0.2628	0.5214	-0.2828	0.8051
Sample 27	179.5337	126.6989	179.5993	-0.4270	0.7263	0.5387	-0.6831	-0.6494	0.3341	0.5925	-0.2254	0.7734
Sample 43	179.0982	126.7878	179.7103	-0.3122	0.8284	0.4650	-0.7267	-0.5235	0.4448	0.6119	-0.1991	0.7654
PSC_2.5mm	188.2557	132.0233	171.7479	-0.0026	0.9387	0.3448	-0.6891	-0.2515	0.6796	0.7247	-0.2359	0.6475
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 485	Session 1	485	PSC_2.5mm	190.5149	131.5294	173.1632	-0.0038	0.9312	0.3646	-0.6879	-0.2670	0.6749	0.7258	-0.2482	0.6416	2.7113	0.4696	0.7889	0.9267	(null)	(null)	(null)	2020-10-23	11:29:52.782	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 486	Session 1	486	PSC_2.5mm	190.1504	131.2330	173.7128	-0.0061	0.9302	0.3670	-0.6880	-0.2702	0.6735	0.7257	-0.2484	0.6416	2.8417	0.2349	0.7946	1.1244	(null)	(null)	(null)	2020-10-23	11:29:53.283	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 487	Session 1	487	PSC_2.5mm	190.2569	131.5294	173.2691	-0.0032	0.9311	0.3647	-0.6907	-0.2658	0.6726	0.7232	-0.2497	0.6439	2.5618	0.2444	0.8252	0.9088	(null)	(null)	(null)	2020-10-23	11:29:53.784	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 488	Session 1	488	PSC_2.5mm	190.3079	131.7033	173.2316	-0.0045	0.9308	0.3654	-0.6915	-0.2668	0.6713	0.7224	-0.2497	0.6448	2.5525	0.4114	0.8172	0.9910	(null)	(null)	(null)	2020-10-23	11:29:54.284	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 489	Session 1	489	PSC_2.5mm	190.1842	131.7166	173.3343	-0.0052	0.9306	0.3659	-0.6912	-0.2677	0.6713	0.7227	-0.2494	0.6446	2.5159	0.3403	0.8021	1.0399	(null)	(null)	(null)	2020-10-23	11:29:54.786	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 490	Session 1	490	PSC_2.5mm	190.2002	131.7468	173.2228	-0.0054	0.9302	0.3670	-0.6924	-0.2683	0.6698	0.7215	-0.2505	0.6455	2.4562	0.3945	0.8655	1.0982	(null)	(null)	(null)	2020-10-23	11:29:55.385	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 491	Session 1	491	PSC_2.5mm	189.8398	131.5387	173.7567	-0.0042	0.9295	0.3688	-0.6905	-0.2694	0.6713	0.7233	-0.2519	0.6430	2.6038	0.4783	0.9557	1.1291	(null)	(null)	(null)	2020-10-23	11:29:55.886	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 492	Session 1	492	PSC_2.5mm	189.8785	131.3435	173.7298	-0.0031	0.9278	0.3731	-0.6887	-0.2725	0.6719	0.7251	-0.2548	0.6398	2.6502	0.4126	1.1730	1.2811	(null)	(null)	(null)	2020-10-23	11:29:56.386	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 493	Session 1	493	PSC_2.5mm	190.6617	130.8338	172.5282	-0.0446	0.9293	0.3667	-0.6921	-0.2934	0.6594	0.7204	-0.2244	0.6563	2.7951	1.2253	0.8648	2.6484	(null)	(null)	(null)	2020-10-23	11:30:06.677	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 494	Session 1	494	PSC_2.5mm	190.4888	130.8690	172.8535	-0.0472	0.9308	0.3625	-0.6921	-0.2921	0.6601	0.7203	-0.2197	0.6580	2.7462	0.9143	1.1313	2.5652	(null)	(null)	(null)	2020-10-23	11:30:07.178	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
