# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC	171.7500	127.0400	160.3100	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 4	181.9895	108.8090	169.3683	-0.4415	0.7817	0.4404	-0.7249	-0.6000	0.3384	0.5288	-0.1699	0.8316
Sample 24	173.0678	109.2855	173.9324	-0.2234	0.8603	0.4583	-0.7404	-0.4556	0.4942	0.6339	-0.2290	0.7387
Sample 32	168.5088	123.5278	181.1368	-0.2808	0.8796	0.3841	-0.7689	-0.4457	0.4585	0.5744	-0.1666	0.8014
Sample 53	175.3887	125.5982	176.3578	-0.1570	0.9411	0.2995	-0.8286	-0.2905	0.4785	0.5373	-0.1730	0.8254
Sample 1	182.6344	122.1176	174.1042	-0.7063	0.0338	0.7071	-0.2034	-0.9664	-0.1571	0.6780	-0.2548	0.6894
PMC_1.5mm	183.3125	121.8628	174.7936	-0.7063	0.0338	0.7071	-0.2034	-0.9664	-0.1571	0.6780	-0.2548	0.6894
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 421	Session 1	421	PMC_1.5mm	4.2939	469.3567	226.7064	0.1162	0.8510	0.5121	-0.8174	-0.2109	0.5360	0.5642	-0.4809	0.6711	394.3280	317.9259	14.5830	-72.8484	(null)	(null)	(null)	2020-10-16	13:05:31.161	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 422	Session 1	422	PMC_1.5mm	182.6392	121.8045	173.7060	-0.7196	0.0577	0.6920	-0.2009	-0.9712	-0.1279	0.6647	-0.2311	0.7104	1.2805	0.4282	1.9687	-1.0340	(null)	(null)	(null)	2020-10-16	13:06:09.519	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 423	Session 1	423	PMC_1.5mm	182.5670	121.7961	173.7129	-0.7195	0.0597	0.6919	-0.2009	-0.9716	-0.1251	0.6648	-0.2290	0.7111	1.3146	0.4108	2.0727	-1.1454	(null)	(null)	(null)	2020-10-16	13:06:10.020	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 424	Session 1	424	PMC_1.5mm	182.6042	121.6987	173.8022	-0.7194	0.0603	0.6920	-0.2009	-0.9717	-0.1241	0.6649	-0.2283	0.7111	1.2294	0.4639	2.1015	-1.1834	(null)	(null)	(null)	2020-10-16	13:06:10.521	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 425	Session 1	425	PMC_1.5mm	182.6815	121.6923	173.6539	-0.7185	0.0615	0.6928	-0.2022	-0.9715	-0.1235	0.6654	-0.2288	0.7105	1.3138	0.5554	2.0478	-1.2661	(null)	(null)	(null)	2020-10-16	13:06:11.023	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 426	Session 1	426	PMC_1.5mm	182.6934	121.5575	173.6534	-0.7179	0.0626	0.6933	-0.2001	-0.9725	-0.1194	0.6667	-0.2244	0.7107	1.3329	0.6660	2.2194	-1.3355	(null)	(null)	(null)	2020-10-16	13:06:11.525	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 427	Session 1	427	PMC_1.5mm	182.6935	121.8387	173.6259	-0.7185	0.0616	0.6928	-0.1993	-0.9725	-0.1202	0.6664	-0.2245	0.7110	1.3218	0.4650	2.2347	-1.2725	(null)	(null)	(null)	2020-10-16	13:06:12.026	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 428	Session 1	428	PMC_1.5mm	182.7837	121.7391	173.6201	-0.7182	0.0640	0.6929	-0.2005	-0.9726	-0.1180	0.6664	-0.2237	0.7113	1.2931	0.5726	2.2792	-1.4121	(null)	(null)	(null)	2020-10-16	13:06:12.528	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 429	Session 1	429	PMC_1.5mm	182.8508	121.8110	173.4975	-0.7178	0.0660	0.6931	-0.2028	-0.9722	-0.1175	0.6660	-0.2249	0.7112	1.3769	0.6427	2.2296	-1.5262	(null)	(null)	(null)	2020-10-16	13:06:13.029	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 430	Session 1	430	PMC_1.5mm	182.6161	122.2958	173.8514	-0.7125	0.0949	0.6953	-0.2136	-0.9731	-0.0860	0.6684	-0.2098	0.7136	1.2491	0.2249	2.9777	-3.2144	(null)	(null)	(null)	2020-10-16	13:06:23.431	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 431	Session 1	431	PMC_1.5mm	182.7220	122.2630	173.6536	-0.7122	0.0958	0.6954	-0.2132	-0.9734	-0.0842	0.6689	-0.2083	0.7136	1.3447	0.3736	3.0493	-3.2700	(null)	(null)	(null)	2020-10-16	13:06:23.932	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 432	Session 1	432	PMC_1.5mm	182.8201	122.2805	173.6288	-0.7127	0.0950	0.6950	-0.2126	-0.9734	-0.0850	0.6684	-0.2083	0.7140	1.3318	0.4654	3.0626	-3.2121	(null)	(null)	(null)	2020-10-16	13:06:24.531	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 433	Session 1	433	PMC_1.5mm	182.7771	122.0820	173.7948	-0.7121	0.0963	0.6954	-0.2102	-0.9744	-0.0803	0.6699	-0.2033	0.7141	1.1543	0.2930	3.3035	-3.2992	(null)	(null)	(null)	2020-10-16	13:06:25.130	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 434	Session 1	434	PMC_1.5mm	182.9030	121.8964	173.6383	-0.7113	0.0984	0.6960	-0.2117	-0.9742	-0.0786	0.6703	-0.2033	0.7137	1.2262	0.5297	3.2932	-3.4280	(null)	(null)	(null)	2020-10-16	13:06:25.632	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 435	Session 1	435	PMC_1.5mm	182.8100	122.1879	173.7024	-0.7110	0.0950	0.6968	-0.2115	-0.9739	-0.0830	0.6707	-0.2063	0.7125	1.2446	0.3910	3.1024	-3.2506	(null)	(null)	(null)	2020-10-16	13:06:26.231	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 436	Session 1	436	PMC_1.5mm	182.8789	121.9873	173.7311	-0.7109	0.0964	0.6967	-0.2111	-0.9741	-0.0806	0.6709	-0.2044	0.7129	1.1543	0.4237	3.2128	-3.3278	(null)	(null)	(null)	2020-10-16	13:06:26.830	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 437	Session 1	437	PMC_1.5mm	182.8555	122.0109	173.5958	-0.7109	0.0974	0.6966	-0.2088	-0.9749	-0.0768	0.6716	-0.2000	0.7134	1.2905	0.4969	3.4450	-3.3820	(null)	(null)	(null)	2020-10-16	13:06:27.331	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 438	Session 1	438	PMC_1.5mm	182.9947	121.9816	173.3295	-0.7158	0.0763	0.6941	-0.1970	-0.9757	-0.0959	0.6699	-0.2054	0.7135	1.5029	0.7846	3.1814	-2.1298	(null)	(null)	(null)	2020-10-16	13:06:37.333	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 439	Session 1	439	PMC_1.5mm	182.8071	121.8963	173.5396	-0.7162	0.0777	0.6935	-0.1971	-0.9758	-0.0942	0.6695	-0.2042	0.7142	1.3524	0.5380	3.2670	-2.2002	(null)	(null)	(null)	2020-10-16	13:06:37.933	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 440	Session 1	440	PMC_1.5mm	182.8027	122.0528	173.5575	-0.7170	0.0774	0.6928	-0.1970	-0.9758	-0.0949	0.6687	-0.2045	0.7149	1.3505	0.4772	3.2766	-2.1654	(null)	(null)	(null)	2020-10-16	13:06:38.532	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 441	Session 1	441	PMC_1.5mm	182.8191	121.6395	173.6148	-0.7173	0.0782	0.6924	-0.1937	-0.9769	-0.0903	0.6693	-0.1989	0.7158	1.2973	0.6377	3.5782	-2.2076	(null)	(null)	(null)	2020-10-16	13:06:39.034	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 442	Session 1	442	PMC_1.5mm	182.8453	121.8104	173.6148	-0.7188	0.0755	0.6911	-0.1933	-0.9766	-0.0943	0.6678	-0.2014	0.7165	1.2690	0.5450	3.4815	-2.0246	(null)	(null)	(null)	2020-10-16	13:06:39.632	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 443	Session 1	443	PMC_1.5mm	182.8790	121.8873	173.6225	-0.7189	0.0729	0.6913	-0.1929	-0.9764	-0.0976	0.6678	-0.2035	0.7160	1.2490	0.5257	3.3622	-1.8832	(null)	(null)	(null)	2020-10-16	13:06:40.133	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 444	Session 1	444	PMC_1.5mm	182.7609	122.1494	173.7392	-0.7200	0.0728	0.6902	-0.1919	-0.9766	-0.0973	0.6669	-0.2025	0.7171	1.2240	0.3178	3.4473	-1.8505	(null)	(null)	(null)	2020-10-16	13:06:40.733	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 445	Session 1	445	PMC_1.5mm	182.8638	122.0376	173.5507	-0.7195	0.0721	0.6908	-0.1898	-0.9771	-0.0958	0.6681	-0.2000	0.7167	1.3329	0.5241	3.5514	-1.8248	(null)	(null)	(null)	2020-10-16	13:06:41.234	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 446	Session 1	446	PMC_1.5mm	182.9988	122.3442	173.7013	-0.7180	0.0710	0.6924	-0.1899	-0.9770	-0.0967	0.6697	-0.2009	0.7150	1.2342	0.5831	3.4496	-1.7987	(null)	(null)	(null)	2020-10-16	13:06:51.233	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 447	Session 1	447	PMC_1.5mm	182.9644	122.4424	173.7057	-0.7196	0.0683	0.6911	-0.1891	-0.9768	-0.1004	0.6682	-0.2029	0.7158	1.2809	0.6052	3.3818	-1.6159	(null)	(null)	(null)	2020-10-16	13:06:51.734	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 448	Session 1	448	PMC_1.5mm	182.8716	122.4270	173.6624	-0.7184	0.0719	0.6919	-0.1906	-0.9769	-0.0963	0.6690	-0.2011	0.7155	1.3388	0.5560	3.4614	-1.8376	(null)	(null)	(null)	2020-10-16	13:06:52.334	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 449	Session 1	449	PMC_1.5mm	183.0396	121.9831	173.4231	-0.7175	0.0752	0.6924	-0.1903	-0.9775	-0.0910	0.6700	-0.1971	0.7157	1.4026	0.7465	3.6627	-2.0356	(null)	(null)	(null)	2020-10-16	13:06:52.836	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 450	Session 1	450	PMC_1.5mm	182.9083	122.0795	173.6354	-0.7205	0.0711	0.6898	-0.1895	-0.9771	-0.0972	0.6671	-0.2008	0.7174	1.2457	0.4928	3.5415	-1.7485	(null)	(null)	(null)	2020-10-16	13:06:53.435	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 451	Session 1	451	PMC_1.5mm	182.7291	122.3446	173.7936	-0.7216	0.0699	0.6887	-0.1891	-0.9770	-0.0990	0.6659	-0.2017	0.7182	1.2539	0.3509	3.5322	-1.6604	(null)	(null)	(null)	2020-10-16	13:06:53.936	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 452	Session 1	452	PMC_1.5mm	182.8765	121.9392	173.6161	-0.7209	0.0717	0.6893	-0.1875	-0.9777	-0.0944	0.6672	-0.1973	0.7183	1.2579	0.5058	3.7407	-1.7737	(null)	(null)	(null)	2020-10-16	13:06:54.534	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 453	Session 1	453	PMC_1.5mm	182.9229	121.9707	173.6580	-0.7204	0.0728	0.6898	-0.1878	-0.9778	-0.0929	0.6677	-0.1965	0.7180	1.2055	0.5002	3.7688	-1.8442	(null)	(null)	(null)	2020-10-16	13:06:55.036	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 454	Session 1	454	PMC_1.5mm	182.8791	122.0654	173.6733	-0.7342	0.0579	0.6765	-0.1730	-0.9794	-0.1040	0.6566	-0.1933	0.7291	1.2182	0.4280	4.3680	-0.7359	(null)	(null)	(null)	2020-10-16	13:07:05.131	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 455	Session 1	455	PMC_1.5mm	182.9729	121.8205	173.5292	-0.7323	0.0607	0.6783	-0.1748	-0.9794	-0.1011	0.6582	-0.1927	0.7278	1.3099	0.6529	4.3365	-0.9304	(null)	(null)	(null)	2020-10-16	13:07:05.633	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 456	Session 1	456	PMC_1.5mm	182.9537	121.9664	173.5607	-0.7310	0.0614	0.6796	-0.1761	-0.9792	-0.1009	0.6593	-0.1935	0.7266	1.2882	0.5758	4.2454	-0.9993	(null)	(null)	(null)	2020-10-16	13:07:06.134	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 457	Session 1	457	PMC_1.5mm	182.8396	122.0862	173.4747	-0.7304	0.0618	0.6803	-0.1776	-0.9788	-0.1018	0.6596	-0.1951	0.7259	1.4189	0.5380	4.1438	-1.0304	(null)	(null)	(null)	2020-10-16	13:07:06.635	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 458	Session 1	458	PMC_1.5mm	182.9052	121.8590	173.5758	-0.7300	0.0615	0.6807	-0.1782	-0.9786	-0.1027	0.6598	-0.1963	0.7253	1.2841	0.5687	4.0697	-1.0231	(null)	(null)	(null)	2020-10-16	13:07:07.137	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 459	Session 1	459	PMC_1.5mm	182.8777	121.9534	173.5181	-0.7303	0.0618	0.6803	-0.1773	-0.9789	-0.1014	0.6597	-0.1947	0.7259	1.3506	0.5572	4.1633	-1.0357	(null)	(null)	(null)	2020-10-16	13:07:07.736	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
