# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC3	169.0000	152.0000	177.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 15	183.9640	164.7125	181.1867	-0.7189	0.6064	0.3398	-0.3357	-0.7310	0.5941	0.6087	0.3130	0.7291
Sample 21	175.0627	165.0950	191.5577	-0.7228	0.6133	0.3185	-0.3022	-0.6949	0.6525	0.6215	0.3754	0.6876
Sample 35	178.2895	170.2562	186.1689	-0.7196	0.6266	0.2991	-0.3097	-0.6752	0.6695	0.6215	0.3891	0.6799
Sample 42	176.9343	178.1451	183.1740	-0.6800	0.6750	0.2864	-0.3414	-0.6371	0.6911	0.6489	0.3721	0.6636
Sample 62	173.8921	181.7544	184.1961	-0.6945	0.6643	0.2762	-0.3156	-0.6263	0.7129	0.6465	0.4080	0.6446
Sample 1	179.4184	151.9376	193.6152	-0.6238	0.6670	0.4074	-0.4964	-0.7407	0.4526	0.6037	0.0801	0.7932
PMC_2.5mm	179.4184	151.9376	193.6152	-0.6238	0.6670	0.4074	-0.4964	-0.7407	0.4526	0.6037	0.0801	0.7932
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 744	Session 1	744	PMC_2.5mm	175.9344	151.3292	188.8579	-0.6464	0.6456	0.4065	-0.4888	-0.7596	0.4291	0.5858	0.0787	0.8066	5.9280	0.1446	1.2834	1.5280	(null)	(null)	(null)	2020-11-09	12:40:48.253	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 745	Session 1	745	PMC_2.5mm	175.9802	151.1631	188.8723	-0.6466	0.6452	0.4069	-0.4880	-0.7599	0.4295	0.5863	0.0792	0.8062	5.9090	0.3085	1.2424	1.5609	(null)	(null)	(null)	2020-11-09	12:40:48.753	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 746	Session 1	746	PMC_2.5mm	175.9485	151.3300	188.8043	-0.6473	0.6461	0.4045	-0.4890	-0.7591	0.4297	0.5847	0.0803	0.8073	5.9628	0.1297	1.3527	1.4827	(null)	(null)	(null)	2020-11-09	12:40:49.254	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 747	Session 1	747	PMC_2.5mm	176.0359	151.4761	188.6321	-0.6471	0.6472	0.4030	-0.4895	-0.7579	0.4312	0.5845	0.0818	0.8072	6.0403	0.1858	1.3631	1.3892	(null)	(null)	(null)	2020-11-09	12:40:49.756	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 748	Session 1	748	PMC_2.5mm	176.0337	151.5896	188.7672	-0.6468	0.6464	0.4047	-0.4891	-0.7588	0.4302	0.5851	0.0804	0.8069	5.9229	0.1662	1.3228	1.4593	(null)	(null)	(null)	2020-11-09	12:40:50.257	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 749	Session 1	749	PMC_2.5mm	176.0978	151.5935	188.6075	-0.6465	0.6473	0.4039	-0.4895	-0.7580	0.4312	0.5852	0.0810	0.8068	6.0185	0.2905	1.3137	1.3928	(null)	(null)	(null)	2020-11-09	12:40:50.757	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 750	Session 1	750	PMC_2.5mm	176.2284	151.8231	188.4424	-0.6478	0.6461	0.4036	-0.4895	-0.7590	0.4294	0.5838	0.0806	0.8079	6.0784	0.5807	1.4173	1.4701	(null)	(null)	(null)	2020-11-09	12:40:51.259	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 751	Session 1	751	PMC_2.5mm	175.9505	151.4149	188.7493	-0.6456	0.6438	0.4107	-0.4828	-0.7608	0.4338	0.5917	0.0817	0.8020	5.9981	0.1037	0.8545	1.6884	(null)	(null)	(null)	2020-11-09	12:40:51.761	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 752	Session 1	752	PMC_2.5mm	176.0148	151.5499	188.4742	-0.6436	0.6557	0.3948	-0.5055	-0.7515	0.4240	0.5747	0.0733	0.8151	6.1778	0.1919	2.1194	0.7155	(null)	(null)	(null)	2020-11-09	12:41:02.157	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 753	Session 1	753	PMC_2.5mm	176.1099	151.5161	188.2220	-0.6414	0.6567	0.3967	-0.5012	-0.7501	0.4313	0.5808	0.0778	0.8103	6.3412	0.4585	1.6412	0.6610	(null)	(null)	(null)	2020-11-09	12:41:02.659	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
