# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PSC	176.0000	159.0000	172.5000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Hotspot	185.7036	160.7943	184.9780	-0.7536	0.6250	0.2036	-0.3979	-0.6803	0.6156	0.5233	0.3829	0.7613
PSC_2mm_reversecurrent	188.8427	159.1656	184.7636	-0.7594	0.3394	0.5551	-0.1944	-0.9325	0.3043	0.6209	0.1232	0.7741
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 291	Session 1	291	PSC_2mm_reversecurrent	186.0902	158.4331	180.2626	-0.7698	0.3175	0.5538	-0.1909	-0.9423	0.2749	0.6091	0.1059	0.7860	5.3265	0.6067	1.3785	1.2629	(null)	(null)	(null)	2020-11-02	12:18:45.994	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 292	Session 1	292	PSC_2mm_reversecurrent	185.9801	158.9148	180.3119	-0.7727	0.3155	0.5508	-0.1899	-0.9429	0.2737	0.6057	0.1069	0.7885	5.2986	0.5421	1.5200	1.3485	(null)	(null)	(null)	2020-11-02	12:18:46.495	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 293	Session 1	293	PSC_2mm_reversecurrent	186.0878	158.7356	180.4074	-0.7735	0.3163	0.5492	-0.1898	-0.9424	0.2755	0.6047	0.1089	0.7890	5.1721	0.4816	1.5042	1.2890	(null)	(null)	(null)	2020-11-02	12:18:46.997	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 294	Session 1	294	PSC_2mm_reversecurrent	186.2470	158.4116	180.5205	-0.7745	0.3174	0.5472	-0.1914	-0.9420	0.2756	0.6030	0.1087	0.7903	5.0309	0.5522	1.6158	1.2036	(null)	(null)	(null)	2020-11-02	12:18:47.498	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 295	Session 1	295	PSC_2mm_reversecurrent	185.9480	158.7601	180.5137	-0.7771	0.3129	0.5461	-0.1896	-0.9437	0.2709	0.6002	0.1070	0.7927	5.1580	0.2962	1.8451	1.4557	(null)	(null)	(null)	2020-11-02	12:18:47.999	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 296	Session 1	296	PSC_2mm_reversecurrent	186.0424	158.6415	180.3787	-0.7772	0.3144	0.5451	-0.1909	-0.9432	0.2718	0.5996	0.1072	0.7931	5.2291	0.4122	1.8724	1.3595	(null)	(null)	(null)	2020-11-02	12:18:48.501	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 297	Session 1	297	PSC_2mm_reversecurrent	185.9595	158.4543	180.6387	-0.7765	0.3143	0.5462	-0.1917	-0.9435	0.2704	0.6003	0.1053	0.7928	5.0827	0.2614	1.8944	1.3782	(null)	(null)	(null)	2020-11-02	12:18:49.002	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 298	Session 1	298	PSC_2mm_reversecurrent	185.9317	158.0512	180.7103	-0.7772	0.3144	0.5451	-0.1908	-0.9432	0.2720	0.5997	0.1074	0.7930	5.1132	0.5853	1.8633	1.3577	(null)	(null)	(null)	2020-11-02	12:18:49.601	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 299	Session 1	299	PSC_2mm_reversecurrent	185.8844	158.4498	180.2200	-0.7709	0.3191	0.5513	-0.1878	-0.9409	0.2819	0.6087	0.1138	0.7852	5.4689	0.4559	1.0898	1.1486	(null)	(null)	(null)	2020-11-02	12:18:59.897	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 300	Session 1	300	PSC_2mm_reversecurrent	185.8418	158.7103	180.2068	-0.7706	0.3177	0.5525	-0.1873	-0.9415	0.2802	0.6092	0.1125	0.7850	5.4751	0.4518	1.1038	1.2396	(null)	(null)	(null)	2020-11-02	12:19:00.398	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
