# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC3	169.0000	152.0000	177.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 2	167.3066	146.7373	202.2494	-0.7200	0.6505	0.2418	-0.4642	-0.7104	0.5289	0.5159	0.2685	0.8135
Sample 21	174.7373	156.4868	195.6534	-0.7295	0.6515	0.2082	-0.4535	-0.6886	0.5658	0.5120	0.3183	0.7978
Sample 35	179.1651	161.9122	191.6092	-0.7447	0.6428	0.1794	-0.4384	-0.6739	0.5947	0.5032	0.3643	0.7837
Sample 58	182.2600	166.3140	187.6462	-0.7452	0.6461	0.1648	-0.4424	-0.6640	0.6029	0.4990	0.3763	0.7806
Sample 1	179.1166	151.8975	193.2186	-0.6238	0.6670	0.4074	-0.4964	-0.7407	0.4526	0.6037	0.0801	0.7932
PMC_visit5_2mm	179.1166	151.8975	193.2186	-0.6238	0.6670	0.4074	-0.4964	-0.7407	0.4526	0.6037	0.0801	0.7932
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 500	Session 1	500	PMC_visit5_2mm	176.5422	151.3701	189.4881	-0.6366	0.6662	0.3886	-0.5008	-0.7402	0.4486	0.5865	0.0910	0.8048	4.5632	0.1625	1.3394	-0.0884	(null)	(null)	(null)	2020-11-16	12:30:20.927	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 501	Session 1	501	PMC_visit5_2mm	176.6006	151.3532	189.6007	-0.6392	0.6644	0.3872	-0.5001	-0.7416	0.4471	0.5842	0.0921	0.8064	4.4403	0.1606	1.5127	0.0236	(null)	(null)	(null)	2020-11-16	12:30:21.428	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 502	Session 1	502	PMC_visit5_2mm	176.6799	151.4061	189.4376	-0.6413	0.6644	0.3838	-0.5003	-0.7413	0.4474	0.5818	0.0949	0.8078	4.5249	0.2407	1.7305	-0.0057	(null)	(null)	(null)	2020-11-16	12:30:21.929	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 503	Session 1	503	PMC_visit5_2mm	176.6447	151.4637	189.5432	-0.6403	0.6656	0.3834	-0.5019	-0.7403	0.4472	0.5815	0.0939	0.8081	4.4505	0.1414	1.7214	-0.0956	(null)	(null)	(null)	2020-11-16	12:30:22.430	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 504	Session 1	504	PMC_visit5_2mm	176.6555	151.4717	189.4763	-0.6407	0.6669	0.3803	-0.5032	-0.7390	0.4480	0.5798	0.0957	0.8091	4.4992	0.1794	1.8697	-0.2173	(null)	(null)	(null)	2020-11-16	12:30:22.931	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 505	Session 1	505	PMC_visit5_2mm	176.5876	151.3465	189.6298	-0.6384	0.6683	0.3820	-0.5049	-0.7381	0.4475	0.5810	0.0928	0.8086	4.4248	0.1467	1.7312	-0.2995	(null)	(null)	(null)	2020-11-16	12:30:23.433	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 506	Session 1	506	PMC_visit5_2mm	176.5920	151.2758	189.5810	-0.6379	0.6686	0.3822	-0.5060	-0.7380	0.4466	0.5806	0.0915	0.8090	4.4713	0.2252	1.7292	-0.3214	(null)	(null)	(null)	2020-11-16	12:30:23.934	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 507	Session 1	507	PMC_visit5_2mm	176.6439	151.1980	189.6062	-0.6376	0.6682	0.3834	-0.5056	-0.7384	0.4462	0.5812	0.0907	0.8087	4.4332	0.3161	1.6748	-0.2825	(null)	(null)	(null)	2020-11-16	12:30:24.533	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 508	Session 1	508	PMC_visit5_2mm	176.4993	151.4172	189.4117	-0.6259	0.6691	0.4007	-0.5076	-0.7395	0.4421	0.5921	0.0733	0.8025	4.6447	0.2085	0.9366	-0.2053	(null)	(null)	(null)	2020-11-16	12:30:34.834	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 509	Session 1	509	PMC_visit5_2mm	176.6066	151.4526	189.3258	-0.6260	0.6696	0.3998	-0.5080	-0.7391	0.4424	0.5917	0.0739	0.8028	4.6532	0.3066	0.9499	-0.2453	(null)	(null)	(null)	2020-11-16	12:30:35.335	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 510	Session 1	510	PMC_visit5_2mm	176.5723	151.3493	189.2705	-0.6261	0.6704	0.3982	-0.5091	-0.7383	0.4425	0.5907	0.0743	0.8035	4.7288	0.3501	1.0075	-0.3189	(null)	(null)	(null)	2020-11-16	12:30:35.934	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 511	Session 1	511	PMC_visit5_2mm	176.5512	151.2850	189.3296	-0.6276	0.6687	0.3987	-0.5084	-0.7398	0.4407	0.5897	0.0739	0.8043	4.6990	0.3528	1.0832	-0.1917	(null)	(null)	(null)	2020-11-16	12:30:36.434	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 512	Session 1	512	PMC_visit5_2mm	176.6065	151.2162	189.3965	-0.6287	0.6677	0.3986	-0.5083	-0.7408	0.4392	0.5885	0.0735	0.8051	4.6231	0.4132	1.1668	-0.1161	(null)	(null)	(null)	2020-11-16	12:30:36.935	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 513	Session 1	513	PMC_visit5_2mm	176.5456	151.3691	189.4293	-0.6294	0.6687	0.3959	-0.5088	-0.7397	0.4405	0.5874	0.0758	0.8058	4.6096	0.2371	1.2041	-0.2113	(null)	(null)	(null)	2020-11-16	12:30:37.534	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 514	Session 1	514	PMC_visit5_2mm	176.5523	151.4426	189.4000	-0.6298	0.6685	0.3955	-0.5088	-0.7398	0.4403	0.5869	0.0761	0.8061	4.6221	0.2033	1.2329	-0.2027	(null)	(null)	(null)	2020-11-16	12:30:38.035	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 515	Session 1	515	PMC_visit5_2mm	176.6726	151.4567	189.2344	-0.6296	0.6695	0.3941	-0.5095	-0.7388	0.4411	0.5865	0.0769	0.8063	4.6948	0.3761	1.2507	-0.2872	(null)	(null)	(null)	2020-11-16	12:30:38.536	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 516	Session 1	516	PMC_visit5_2mm	176.6935	151.4108	189.3297	-0.6280	0.6737	0.3895	-0.5137	-0.7349	0.4427	0.5845	0.0779	0.8076	4.6078	0.3424	1.3800	-0.6273	(null)	(null)	(null)	2020-11-16	12:30:48.724	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 517	Session 1	517	PMC_visit5_2mm	176.7842	151.3498	189.2437	-0.6263	0.6750	0.3899	-0.5151	-0.7338	0.4429	0.5851	0.0765	0.8073	4.6411	0.4850	1.3531	-0.7229	(null)	(null)	(null)	2020-11-16	12:30:49.225	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 518	Session 1	518	PMC_visit5_2mm	176.7260	151.4896	189.1786	-0.6287	0.6732	0.3893	-0.5131	-0.7353	0.4427	0.5843	0.0786	0.8077	4.7120	0.4326	1.3926	-0.5901	(null)	(null)	(null)	2020-11-16	12:30:49.726	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 519	Session 1	519	PMC_visit5_2mm	176.6040	151.4247	189.2869	-0.6279	0.6733	0.3903	-0.5139	-0.7353	0.4418	0.5845	0.0768	0.8078	4.6899	0.2923	1.3931	-0.5950	(null)	(null)	(null)	2020-11-16	12:30:50.227	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 520	Session 1	520	PMC_visit5_2mm	176.6831	151.4955	189.1706	-0.6307	0.6722	0.3877	-0.5117	-0.7359	0.4434	0.5834	0.0813	0.8081	4.7402	0.3968	1.4435	-0.5325	(null)	(null)	(null)	2020-11-16	12:30:50.727	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 521	Session 1	521	PMC_visit5_2mm	176.6024	151.5434	189.2203	-0.6284	0.6730	0.3900	-0.5120	-0.7353	0.4441	0.5857	0.0794	0.8067	4.7364	0.3153	1.2886	-0.5766	(null)	(null)	(null)	2020-11-16	12:30:51.228	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 522	Session 1	522	PMC_visit5_2mm	176.6331	151.4812	189.2887	-0.6307	0.6729	0.3866	-0.5120	-0.7351	0.4443	0.5832	0.0822	0.8082	4.6675	0.2876	1.4600	-0.5950	(null)	(null)	(null)	2020-11-16	12:30:51.730	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 523	Session 1	523	PMC_visit5_2mm	176.5397	151.5350	189.3594	-0.6318	0.6705	0.3889	-0.5105	-0.7375	0.4422	0.5834	0.0808	0.8082	4.6546	0.1698	1.4472	-0.4018	(null)	(null)	(null)	2020-11-16	12:30:52.231	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 524	Session 1	524	PMC_visit5_2mm	176.6191	151.5769	189.2416	-0.6284	0.6727	0.3907	-0.5122	-0.7358	0.4430	0.5855	0.0783	0.8069	4.7071	0.3178	1.3082	-0.5418	(null)	(null)	(null)	2020-11-16	12:31:02.628	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 525	Session 1	525	PMC_visit5_2mm	176.6388	151.6316	189.2113	-0.6280	0.6734	0.3900	-0.5134	-0.7352	0.4427	0.5848	0.0778	0.8074	4.7190	0.3584	1.3591	-0.6030	(null)	(null)	(null)	2020-11-16	12:31:03.130	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 526	Session 1	526	PMC_visit5_2mm	176.6978	151.6268	189.1294	-0.6295	0.6716	0.3906	-0.5131	-0.7369	0.4401	0.5834	0.0766	0.8085	4.7587	0.4410	1.4699	-0.4696	(null)	(null)	(null)	2020-11-16	12:31:03.631	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 527	Session 1	527	PMC_visit5_2mm	176.4603	151.6156	189.2963	-0.6292	0.6719	0.3908	-0.5121	-0.7366	0.4418	0.5847	0.0778	0.8075	4.7455	0.1726	1.3679	-0.4830	(null)	(null)	(null)	2020-11-16	12:31:04.132	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 528	Session 1	528	PMC_visit5_2mm	176.4567	151.6312	189.3216	-0.6274	0.6738	0.3904	-0.5144	-0.7350	0.4417	0.5846	0.0763	0.8078	4.7257	0.1606	1.3937	-0.6252	(null)	(null)	(null)	2020-11-16	12:31:04.633	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 529	Session 1	529	PMC_visit5_2mm	176.5149	151.3833	189.3425	-0.6263	0.6754	0.3893	-0.5155	-0.7334	0.4432	0.5849	0.0769	0.8075	4.6966	0.2270	1.3659	-0.7571	(null)	(null)	(null)	2020-11-16	12:31:05.135	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 530	Session 1	530	PMC_visit5_2mm	176.5256	151.4063	189.2496	-0.6244	0.6755	0.3923	-0.5167	-0.7338	0.4411	0.5858	0.0728	0.8072	4.7652	0.2757	1.3676	-0.7341	(null)	(null)	(null)	2020-11-16	12:31:05.636	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 531	Session 1	531	PMC_visit5_2mm	176.5190	151.4228	189.3386	-0.6236	0.6749	0.3945	-0.5166	-0.7345	0.4400	0.5867	0.0706	0.8067	4.6933	0.2315	1.3560	-0.6745	(null)	(null)	(null)	2020-11-16	12:31:06.137	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 532	Session 1	532	PMC_visit5_2mm	177.2467	150.9249	189.0583	-0.6408	0.6586	0.3944	-0.5323	-0.7514	0.3898	0.5531	0.0398	0.8321	4.6637	1.0882	4.3236	0.5065	(null)	(null)	(null)	2020-11-16	12:31:16.533	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 533	Session 1	533	PMC_visit5_2mm	177.0945	150.9108	189.2180	-0.6303	0.6584	0.4114	-0.5345	-0.7524	0.3851	0.5630	0.0229	0.8261	4.5899	1.0590	4.4412	0.6582	(null)	(null)	(null)	2020-11-16	12:31:17.035	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 534	Session 1	534	PMC_visit5_2mm	176.9637	151.0277	189.0715	-0.6312	0.6591	0.4090	-0.5314	-0.7515	0.3910	0.5650	0.0294	0.8246	4.7529	0.9273	4.0709	0.5873	(null)	(null)	(null)	2020-11-16	12:31:17.536	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 535	Session 1	535	PMC_visit5_2mm	176.7259	151.1228	189.1558	-0.6409	0.6593	0.3932	-0.5183	-0.7495	0.4119	0.5663	0.0602	0.8220	4.7772	0.5943	2.9349	0.4443	(null)	(null)	(null)	2020-11-16	12:31:18.037	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 536	Session 1	536	PMC_visit5_2mm	176.7549	151.2862	189.1022	-0.6453	0.6586	0.3871	-0.5095	-0.7486	0.4242	0.5692	0.0765	0.8186	4.7850	0.4798	2.4650	0.4450	(null)	(null)	(null)	2020-11-16	12:31:18.539	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 537	Session 1	537	PMC_visit5_2mm	176.6221	151.2953	189.0970	-0.6460	0.6578	0.3873	-0.5059	-0.7489	0.4281	0.5716	0.0806	0.8166	4.8552	0.3844	2.2730	0.5005	(null)	(null)	(null)	2020-11-16	12:31:19.041	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 538	Session 1	538	PMC_visit5_2mm	176.5733	151.2899	189.2082	-0.6468	0.6591	0.3837	-0.5040	-0.7470	0.4335	0.5724	0.0871	0.8154	4.7876	0.2942	2.2338	0.3760	(null)	(null)	(null)	2020-11-16	12:31:19.639	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 539	Session 1	539	PMC_visit5_2mm	176.6357	151.2597	189.1345	-0.6470	0.6612	0.3799	-0.5038	-0.7446	0.4380	0.5724	0.0920	0.8148	4.8209	0.3737	2.2804	0.1915	(null)	(null)	(null)	2020-11-16	12:31:20.140	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 540	Session 1	540	PMC_visit5_2mm	176.3244	151.4690	189.2331	-0.6336	0.6676	0.3910	-0.5054	-0.7398	0.4442	0.5858	0.0838	0.8061	4.8851	0.0864	1.2810	-0.1748	(null)	(null)	(null)	2020-11-16	12:31:30.440	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 541	Session 1	541	PMC_visit5_2mm	176.4539	151.3957	189.0567	-0.6335	0.6678	0.3909	-0.5067	-0.7398	0.4426	0.5848	0.0823	0.8070	4.9662	0.3009	1.3490	-0.1840	(null)	(null)	(null)	2020-11-16	12:31:30.941	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
