# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC	170.0000	128.0000	161.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 22	174.5837	114.6685	190.4800	-0.7579	0.3904	0.5227	-0.4486	-0.8936	0.0169	0.4737	-0.2216	0.8524
Sample 25	186.9987	108.2227	179.3719	-0.7278	0.4179	0.5437	-0.4532	-0.8882	0.0761	0.5147	-0.1910	0.8358
Sample 37	190.0934	112.8092	177.3303	-0.6844	0.4637	0.5626	-0.4889	-0.8644	0.1178	0.5409	-0.1944	0.8183
PMC_2.0mm	188.7901	125.3804	181.4479	-0.7475	-0.0853	0.6588	-0.0736	-0.9750	-0.2098	0.6602	-0.2053	0.7225
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 483	Session 1	483	PMC_2.0mm	188.2373	125.2934	180.2010	-0.7552	-0.0813	0.6504	-0.0761	-0.9747	-0.2102	0.6510	-0.2083	0.7299	1.3667	0.5483	0.6984	-0.0911	(null)	(null)	(null)	2020-10-27	12:33:18.548	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 484	Session 1	484	PMC_2.0mm	188.2829	125.2757	180.1486	-0.7562	-0.0806	0.6493	-0.0771	-0.9745	-0.2108	0.6498	-0.2095	0.7307	1.3987	0.6134	0.7963	-0.1110	(null)	(null)	(null)	2020-10-27	12:33:19.049	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 485	Session 1	485	PMC_2.0mm	188.3204	125.2620	180.1366	-0.7549	-0.0824	0.6506	-0.0780	-0.9737	-0.2138	0.6511	-0.2122	0.7287	1.3979	0.6525	0.7422	-0.0337	(null)	(null)	(null)	2020-10-27	12:33:19.551	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 486	Session 1	486	PMC_2.0mm	188.5124	125.2926	180.2167	-0.7557	-0.0815	0.6498	-0.0789	-0.9737	-0.2139	0.6501	-0.2129	0.7294	1.2651	0.6909	0.8213	-0.0677	(null)	(null)	(null)	2020-10-27	12:33:20.150	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 487	Session 1	487	PMC_2.0mm	188.6266	125.3930	180.1616	-0.7555	-0.0806	0.6502	-0.0799	-0.9737	-0.2135	0.6503	-0.2132	0.7292	1.2967	0.7651	0.8210	-0.1241	(null)	(null)	(null)	2020-10-27	12:33:20.750	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 488	Session 1	488	PMC_2.0mm	188.4529	125.6429	180.3299	-0.7539	-0.0823	0.6518	-0.0797	-0.9733	-0.2151	0.6521	-0.2142	0.7273	1.1969	0.4962	0.7392	-0.0562	(null)	(null)	(null)	2020-10-27	12:33:21.251	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 489	Session 1	489	PMC_2.0mm	188.3835	125.4901	180.2673	-0.7538	-0.0821	0.6520	-0.0776	-0.9741	-0.2123	0.6525	-0.2106	0.7279	1.2534	0.5038	0.6157	-0.0709	(null)	(null)	(null)	2020-10-27	12:33:21.850	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 490	Session 1	490	PMC_2.0mm	188.4293	125.5933	180.2259	-0.7536	-0.0821	0.6522	-0.0784	-0.9739	-0.2131	0.6526	-0.2117	0.7275	1.2918	0.5486	0.6342	-0.0731	(null)	(null)	(null)	2020-10-27	12:33:22.352	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 491	Session 1	491	PMC_2.0mm	187.9933	125.8389	180.3206	-0.7442	-0.0870	0.6622	-0.0771	-0.9736	-0.2146	0.6634	-0.2108	0.7179	1.4547	0.2405	0.4496	0.0417	(null)	(null)	(null)	2020-10-27	12:33:32.440	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 492	Session 1	492	PMC_2.0mm	187.5352	125.5187	180.8597	-0.7428	-0.0893	0.6635	-0.0754	-0.9736	-0.2154	0.6652	-0.2100	0.7165	1.3928	0.5366	0.5236	0.1464	(null)	(null)	(null)	2020-10-27	12:33:32.942	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
