# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PSC	171.0000	131.0000	168.5000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 23	176.1799	107.0168	178.0946	-0.6089	0.5885	0.5319	-0.5597	-0.7939	0.2376	0.5621	-0.1530	0.8128
Sample 34	182.3530	118.3131	176.5657	-0.7098	0.4695	0.5251	-0.4573	-0.8742	0.1634	0.5358	-0.1242	0.8352
Sample 50	180.8325	124.5694	177.2925	-0.6993	0.4423	0.5616	-0.4278	-0.8883	0.1670	0.5727	-0.1234	0.8104
PSC_2.0mm_rev	185.4107	131.8109	183.0297	-0.7155	0.1032	0.6909	-0.1841	-0.9819	-0.0440	0.6739	-0.1586	0.7216
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 285	Session 1	285	PSC_2.0mm_rev	180.8722	133.3317	178.2345	-0.7172	0.0852	0.6916	-0.1828	-0.9807	-0.0688	0.6725	-0.1757	0.7190	6.7753	0.3391	0.9942	1.0304	(null)	(null)	(null)	2020-11-03	11:48:20.625	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 286	Session 1	286	PSC_2.0mm_rev	180.9777	132.8888	178.2069	-0.7176	0.0881	0.6909	-0.1820	-0.9812	-0.0639	0.6723	-0.1716	0.7202	6.6387	0.0799	0.7509	0.8698	(null)	(null)	(null)	2020-11-03	11:48:21.628	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 287	Session 1	287	PSC_2.0mm_rev	181.2083	132.9549	178.0140	-0.7174	0.0855	0.6914	-0.1844	-0.9803	-0.0701	0.6718	-0.1778	0.7191	6.6427	0.3552	1.1134	1.0122	(null)	(null)	(null)	2020-11-03	11:48:22.631	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 288	Session 1	288	PSC_2.0mm_rev	181.3082	133.2499	178.0645	-0.7179	0.0847	0.6910	-0.1850	-0.9801	-0.0720	0.6712	-0.1795	0.7192	6.5996	0.4679	1.2140	1.0647	(null)	(null)	(null)	2020-11-03	11:48:23.634	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 289	Session 1	289	PSC_2.0mm_rev	180.8491	133.3293	177.8357	-0.7150	0.0945	0.6927	-0.1830	-0.9816	-0.0549	0.6747	-0.1660	0.7192	7.0775	0.4176	0.4472	0.4772	(null)	(null)	(null)	2020-11-03	11:48:34.531	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 290	Session 1	290	PSC_2.0mm_rev	181.0095	133.1800	177.7973	-0.7131	0.0948	0.6946	-0.1833	-0.9816	-0.0543	0.6766	-0.1660	0.7173	6.9730	0.4450	0.5137	0.4398	(null)	(null)	(null)	2020-11-03	11:48:35.534	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 291	Session 1	291	PSC_2.0mm_rev	180.7619	133.4733	177.8662	-0.7133	0.0927	0.6947	-0.1823	-0.9816	-0.0563	0.6768	-0.1668	0.7171	7.1440	0.5074	0.5601	0.5589	(null)	(null)	(null)	2020-11-03	11:48:36.635	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 292	Session 1	292	PSC_2.0mm_rev	180.9444	133.2785	177.8454	-0.7143	0.0900	0.6940	-0.1799	-0.9820	-0.0578	0.6763	-0.1661	0.7177	6.9985	0.4364	0.5017	0.7210	(null)	(null)	(null)	2020-11-03	11:48:37.736	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 293	Session 1	293	PSC_2.0mm_rev	180.6802	132.5334	178.1505	-0.7160	0.0881	0.6925	-0.1806	-0.9816	-0.0618	0.6744	-0.1693	0.7187	6.8342	0.4524	0.6336	0.8483	(null)	(null)	(null)	2020-11-03	11:48:48.437	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 294	Session 1	294	PSC_2.0mm_rev	180.7470	132.8738	177.8493	-0.7141	0.0905	0.6942	-0.1816	-0.9816	-0.0589	0.6761	-0.1682	0.7174	7.0510	0.2019	0.6099	0.6920	(null)	(null)	(null)	2020-11-03	11:48:49.538	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 295	Session 1	295	PSC_2.0mm_rev	180.9265	132.6845	177.5761	-0.7126	0.0951	0.6951	-0.1828	-0.9817	-0.0530	0.6774	-0.1648	0.7169	7.1142	0.5706	0.4856	0.4117	(null)	(null)	(null)	2020-11-03	11:48:50.638	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 296	Session 1	296	PSC_2.0mm_rev	180.9662	132.8827	177.4315	-0.7119	0.1002	0.6951	-0.1831	-0.9820	-0.0459	0.6780	-0.1599	0.7175	7.2278	0.6200	0.3408	0.1189	(null)	(null)	(null)	2020-11-03	11:48:51.738	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 297	Session 1	297	PSC_2.0mm_rev	180.7337	132.9771	177.9154	-0.7123	0.0990	0.6949	-0.1823	-0.9821	-0.0470	0.6778	-0.1602	0.7176	7.0278	0.1191	0.3316	0.1952	(null)	(null)	(null)	2020-11-03	11:49:02.327	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 298	Session 1	298	PSC_2.0mm_rev	180.7163	132.9609	177.9787	-0.7104	0.0955	0.6973	-0.1794	-0.9826	-0.0481	0.6805	-0.1592	0.7152	6.9908	0.0893	0.5299	0.3614	(null)	(null)	(null)	2020-11-03	11:49:03.331	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 299	Session 1	299	PSC_2.0mm_rev	180.7441	133.4141	177.9567	-0.7104	0.0939	0.6975	-0.1816	-0.9819	-0.0528	0.6799	-0.1642	0.7146	7.0770	0.4644	0.6161	0.4528	(null)	(null)	(null)	2020-11-03	11:49:04.334	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 300	Session 1	300	PSC_2.0mm_rev	180.5307	133.5021	178.2108	-0.7136	0.0934	0.6943	-0.1802	-0.9822	-0.0530	0.6770	-0.1629	0.7178	7.0637	0.6035	0.3727	0.5217	(null)	(null)	(null)	2020-11-03	11:49:05.337	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 301	Session 1	301	PSC_2.0mm_rev	180.5614	133.6630	177.8622	-0.7135	0.0924	0.6945	-0.1820	-0.9817	-0.0563	0.6766	-0.1666	0.7172	7.3246	0.6460	0.5414	0.5754	(null)	(null)	(null)	2020-11-03	11:49:16.234	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 302	Session 1	302	PSC_2.0mm_rev	180.7324	133.2821	177.6500	-0.7124	0.0933	0.6955	-0.1823	-0.9817	-0.0551	0.6776	-0.1660	0.7164	7.2795	0.4008	0.5603	0.5118	(null)	(null)	(null)	2020-11-03	11:49:17.237	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 303	Session 1	303	PSC_2.0mm_rev	180.7270	133.4351	177.8768	-0.7114	0.0947	0.6963	-0.1824	-0.9818	-0.0529	0.6787	-0.1646	0.7158	7.1503	0.4789	0.5504	0.4227	(null)	(null)	(null)	2020-11-03	11:49:18.239	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 304	Session 1	304	PSC_2.0mm_rev	180.8127	133.9260	177.7757	-0.7121	0.0961	0.6955	-0.1850	-0.9813	-0.0539	0.6773	-0.1671	0.7165	7.2952	0.9578	0.5981	0.3536	(null)	(null)	(null)	2020-11-03	11:49:19.341	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 305	Session 1	305	PSC_2.0mm_rev	180.3638	133.2860	178.1977	-0.7131	0.0991	0.6940	-0.1843	-0.9816	-0.0492	0.6764	-0.1630	0.7183	7.1411	0.4817	0.3436	0.1985	(null)	(null)	(null)	2020-11-03	11:49:30.137	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 306	Session 1	306	PSC_2.0mm_rev	180.5347	133.3195	178.0339	-0.7126	0.0942	0.6953	-0.1853	-0.9810	-0.0571	0.6767	-0.1695	0.7165	7.1421	0.3244	0.7075	0.4659	(null)	(null)	(null)	2020-11-03	11:49:31.140	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 307	Session 1	307	PSC_2.0mm_rev	180.5105	133.3855	178.0775	-0.7161	0.0967	0.6913	-0.1855	-0.9811	-0.0549	0.6729	-0.1675	0.7205	7.1425	0.4350	0.5164	0.3713	(null)	(null)	(null)	2020-11-03	11:49:32.143	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 308	Session 1	308	PSC_2.0mm_rev	180.6525	133.2639	177.9399	-0.7144	0.0934	0.6935	-0.1817	-0.9818	-0.0549	0.6757	-0.1652	0.7184	7.1175	0.2825	0.4327	0.5336	(null)	(null)	(null)	2020-11-03	11:49:33.243	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 309	Session 1	309	PSC_2.0mm_rev	180.9103	132.8974	178.0720	-0.7149	0.0963	0.6926	-0.1898	-0.9800	-0.0597	0.6730	-0.1741	0.7189	6.7833	0.1407	0.9032	0.3765	(null)	(null)	(null)	2020-11-03	11:49:44.040	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 310	Session 1	310	PSC_2.0mm_rev	180.8285	133.1412	178.0504	-0.7169	0.0976	0.6903	-0.1899	-0.9801	-0.0587	0.6708	-0.1731	0.7211	6.8963	0.1435	0.8482	0.3329	(null)	(null)	(null)	2020-11-03	11:49:45.044	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 311	Session 1	311	PSC_2.0mm_rev	180.6346	132.6185	178.2664	-0.7208	0.0973	0.6863	-0.1836	-0.9815	-0.0537	0.6684	-0.1647	0.7254	6.7936	0.4233	0.5164	0.4001	(null)	(null)	(null)	2020-11-03	11:49:46.144	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 312	Session 1	312	PSC_2.0mm_rev	180.5407	132.6885	178.4736	-0.7213	0.0947	0.6861	-0.1833	-0.9814	-0.0572	0.6679	-0.1670	0.7252	6.7264	0.5532	0.6249	0.5529	(null)	(null)	(null)	2020-11-03	11:49:47.245	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 313	Session 1	313	PSC_2.0mm_rev	181.3004	132.9633	178.3158	-0.7211	0.0933	0.6866	-0.1946	-0.9783	-0.0714	0.6650	-0.1851	0.7236	6.3595	0.1654	1.6051	0.6243	(null)	(null)	(null)	2020-11-03	11:49:57.946	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 314	Session 1	314	PSC_2.0mm_rev	181.1860	132.9836	178.4136	-0.7203	0.0932	0.6873	-0.1946	-0.9783	-0.0713	0.6658	-0.1851	0.7228	6.3664	0.0206	1.5867	0.6223	(null)	(null)	(null)	2020-11-03	11:49:59.046	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 315	Session 1	315	PSC_2.0mm_rev	181.0563	133.5089	178.2676	-0.7218	0.0943	0.6856	-0.1927	-0.9789	-0.0682	0.6647	-0.1813	0.7247	6.6725	0.4998	1.4141	0.5797	(null)	(null)	(null)	2020-11-03	11:50:00.146	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 316	Session 1	316	PSC_2.0mm_rev	180.9675	133.6033	178.2465	-0.7215	0.0964	0.6857	-0.1943	-0.9787	-0.0669	0.6646	-0.1814	0.7248	6.7701	0.5797	1.4227	0.4611	(null)	(null)	(null)	2020-11-03	11:50:01.248	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 317	Session 1	317	PSC_2.0mm_rev	180.8375	133.4038	178.3910	-0.7114	0.0890	0.6972	-0.1899	-0.9794	-0.0687	0.6767	-0.1812	0.7136	6.7059	0.4064	1.3820	0.7383	(null)	(null)	(null)	2020-11-03	11:50:11.839	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 318	Session 1	318	PSC_2.0mm_rev	180.5715	133.0898	178.3471	-0.7134	0.0896	0.6950	-0.1867	-0.9802	-0.0653	0.6755	-0.1764	0.7160	6.8542	0.3152	1.0679	0.7341	(null)	(null)	(null)	2020-11-03	11:50:12.842	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 319	Session 1	319	PSC_2.0mm_rev	180.6695	132.7598	178.2730	-0.7137	0.0916	0.6945	-0.1858	-0.9807	-0.0616	0.6754	-0.1729	0.7169	6.7827	0.2949	0.8668	0.6254	(null)	(null)	(null)	2020-11-03	11:50:13.846	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 320	Session 1	320	PSC_2.0mm_rev	180.7526	133.0407	178.2369	-0.7127	0.0892	0.6957	-0.1862	-0.9804	-0.0651	0.6763	-0.1759	0.7153	6.7956	0.0988	1.0603	0.7469	(null)	(null)	(null)	2020-11-03	11:50:14.849	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 321	Session 1	321	PSC_2.0mm_rev	181.2747	132.9492	177.9024	-0.7314	0.0912	0.6758	-0.1841	-0.9806	-0.0670	0.6566	-0.1734	0.7341	6.6852	0.3360	1.4883	0.8819	(null)	(null)	(null)	2020-11-03	11:50:25.746	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 322	Session 1	322	PSC_2.0mm_rev	181.1677	133.2199	178.1809	-0.7317	0.0898	0.6756	-0.1830	-0.9808	-0.0679	0.6566	-0.1733	0.7341	6.5954	0.2800	1.4851	0.9666	(null)	(null)	(null)	2020-11-03	11:50:26.749	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 323	Session 1	323	PSC_2.0mm_rev	181.0497	132.9992	178.2476	-0.7341	0.0919	0.6728	-0.1841	-0.9806	-0.0669	0.6536	-0.1730	0.7368	6.5802	0.1024	1.6710	0.8765	(null)	(null)	(null)	2020-11-03	11:50:27.851	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 324	Session 1	324	PSC_2.0mm_rev	181.1680	133.0506	178.2979	-0.7311	0.0911	0.6761	-0.1867	-0.9799	-0.0698	0.6562	-0.1773	0.7335	6.4751	0.0933	1.6241	0.8811	(null)	(null)	(null)	2020-11-03	11:50:28.951	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 325	Session 1	325	PSC_2.0mm_rev	180.9185	133.5283	178.1347	-0.7214	0.0929	0.6863	-0.1870	-0.9803	-0.0638	0.6668	-0.1743	0.7246	6.8622	0.5330	1.0008	0.6511	(null)	(null)	(null)	2020-11-03	11:50:39.653	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
