# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b2
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
PMC	170.0000	128.0000	161.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000
Sample 17	184.4554	112.6368	179.7540	-0.5332	0.6892	0.4906	-0.6750	-0.6962	0.2444	0.5100	-0.2008	0.8364
Sample 27	185.4779	107.6586	178.2163	-0.5946	0.6703	0.4440	-0.6250	-0.7327	0.2692	0.5058	-0.1174	0.8546
Sample 41	179.8817	114.8146	182.6295	-0.5273	0.7466	0.4056	-0.6936	-0.6539	0.3021	0.4907	-0.1220	0.8627
Sample 57	187.0135	120.0489	178.0953	-0.4391	0.8084	0.3920	-0.7306	-0.5753	0.3678	0.5229	-0.1249	0.8432
Sample 62	186.3290	119.9040	176.2479	-0.5760	0.6347	0.5151	-0.5710	-0.7634	0.3021	0.5850	-0.1202	0.8021
PMC_3.5mm	189.7804	125.0724	182.5316	-0.7475	-0.0853	0.6588	-0.0736	-0.9750	-0.2098	0.6602	-0.2053	0.7225
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Start	EMG End	EMG Res.	EMG Channels	EMG Window Start	EMG Window End
Sample 750	Session 1	750	PMC_3.5mm	186.2524	126.1764	178.1800	-0.7569	-0.0937	0.6467	-0.0707	-0.9721	-0.2236	0.6496	-0.2150	0.7292	5.7099	0.2888	0.9047	0.6554	(null)	(null)	(null)	2020-10-20	13:03:24.868	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 751	Session 1	751	PMC_3.5mm	186.2142	126.3979	178.4011	-0.7579	-0.0959	0.6452	-0.0711	-0.9711	-0.2279	0.6484	-0.2186	0.7292	5.6157	0.1282	1.0879	0.8011	(null)	(null)	(null)	2020-10-20	13:03:25.369	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 752	Session 1	752	PMC_3.5mm	186.2392	126.4312	178.4284	-0.7580	-0.0978	0.6448	-0.0699	-0.9708	-0.2294	0.6485	-0.2190	0.7291	5.5877	0.1609	1.0972	0.9095	(null)	(null)	(null)	2020-10-20	13:03:25.870	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 753	Session 1	753	PMC_3.5mm	186.0504	126.5075	178.6858	-0.7557	-0.0957	0.6479	-0.0738	-0.9705	-0.2295	0.6507	-0.2213	0.7264	5.5464	0.3020	1.0845	0.7468	(null)	(null)	(null)	2020-10-20	13:03:26.371	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 754	Session 1	754	PMC_3.5mm	186.1705	126.5111	178.5852	-0.7546	-0.0940	0.6494	-0.0756	-0.9707	-0.2283	0.6518	-0.2213	0.7254	5.5386	0.2245	1.0457	0.6275	(null)	(null)	(null)	2020-10-20	13:03:26.872	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 755	Session 1	755	PMC_3.5mm	186.3522	126.7446	178.5241	-0.7552	-0.0944	0.6487	-0.0773	-0.9698	-0.2312	0.6509	-0.2247	0.7251	5.5326	0.4620	1.2416	0.6616	(null)	(null)	(null)	2020-10-20	13:03:27.373	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 756	Session 1	756	PMC_3.5mm	186.4352	126.6111	178.3104	-0.7558	-0.0939	0.6480	-0.0749	-0.9708	-0.2281	0.6505	-0.2209	0.7267	5.6015	0.4497	1.0786	0.6450	(null)	(null)	(null)	2020-10-20	13:03:27.874	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 757	Session 1	757	PMC_3.5mm	186.3674	126.6397	178.4620	-0.7570	-0.0953	0.6465	-0.0732	-0.9707	-0.2289	0.6494	-0.2206	0.7278	5.5377	0.3927	1.1151	0.7490	(null)	(null)	(null)	2020-10-20	13:03:28.375	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 758	Session 1	758	PMC_3.5mm	186.1581	125.3137	178.3562	-0.7563	-0.0963	0.6471	-0.0715	-0.9710	-0.2281	0.6503	-0.2187	0.7275	5.5330	0.9770	0.9958	0.7925	(null)	(null)	(null)	2020-10-20	13:03:38.772	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
Sample 759	Session 1	759	PMC_3.5mm	186.1756	125.5293	178.4316	-0.7591	-0.0975	0.6436	-0.0717	-0.9702	-0.2315	0.6470	-0.2219	0.7295	5.4785	0.7661	1.2760	0.9117	(null)	(null)	(null)	2020-10-20	13:03:39.273	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)
