# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session imported from “Hotspot+Block1.txt”	1	PMC	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:43:15.851	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	6.8525
Sample 2	Session imported from “Hotspot+Block1.txt”	2	PMC	158.3282	131.1200	196.5257	-0.7883	0.4953	0.3650	-0.4328	-0.8681	0.2433	0.4373	0.0338	0.8987	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:44:03.425	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	14.8470
Sample 3	Session imported from “Hotspot+Block1.txt”	3	PMC	165.5451	112.3735	188.0937	-0.7625	0.4976	0.4135	-0.4617	-0.8662	0.1910	0.4532	-0.0453	0.8902	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:44:13.634	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	53.6777
Sample 4	Session imported from “Hotspot+Block1.txt”	4	PMC	127.2673	178.1021	195.3820	-0.7987	0.4971	0.3392	-0.2774	-0.8043	0.5254	0.5340	0.3255	0.7803	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:44:30.620	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	11.4208
Sample 5	Session imported from “Hotspot+Block1.txt”	5	PMC	127.2673	178.1021	195.3820	-0.7987	0.4971	0.3392	-0.2774	-0.8043	0.5254	0.5340	0.3255	0.7803	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:45:02.675	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	9.1366
Sample 6	Session imported from “Hotspot+Block1.txt”	6	PMC	167.1823	131.4488	192.1862	-0.8010	0.4179	0.4287	-0.3644	-0.9085	0.2046	0.4750	0.0077	0.8800	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:45:10.391	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	21.6995
Sample 7	Session imported from “Hotspot+Block1.txt”	7	PMC	171.9739	124.8921	187.3080	-0.7456	0.5046	0.4352	-0.4470	-0.8631	0.2349	0.4942	-0.0194	0.8692	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:45:16.199	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	60.5301
Sample 8	Session imported from “Hotspot+Block1.txt”	8	Sample 7	172.3065	125.3395	187.2104	-0.7372	0.4749	0.4806	-0.4148	-0.8796	0.2329	0.5333	-0.0277	0.8454	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:45:41.115	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	58.2460
Sample 9	Session imported from “Hotspot+Block1.txt”	9	Sample 7	169.4979	118.5467	187.1665	-0.7454	0.4686	0.4741	-0.4031	-0.8833	0.2393	0.5309	-0.0127	0.8473	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:45:46.657	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	30.8361
Sample 10	Session imported from “Hotspot+Block1.txt”	10	Sample 7	175.0996	131.7032	187.4879	-0.7042	0.5296	0.4729	-0.4032	-0.8465	0.3476	0.5844	0.0541	0.8097	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:45:53.188	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 11	Session imported from “Hotspot+Block1.txt”	11	Sample 7	167.0790	128.0095	191.2434	-0.7634	0.5072	0.3999	-0.4263	-0.8608	0.2780	0.4852	0.0417	0.8734	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:45:59.288	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	11.4208
