# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session imported from “Hotspot+Block1.txt”	1	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:37.909	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	14.8470
Sample 2	Session imported from “Hotspot+Block1.txt”	2	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:38.006	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	15.9891
Sample 3	Session imported from “Hotspot+Block1.txt”	3	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:38.104	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	17.1312
Sample 4	Session imported from “Hotspot+Block1.txt”	4	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:38.201	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	18.2732
Sample 5	Session imported from “Hotspot+Block1.txt”	5	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:38.299	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	19.4153
Sample 6	Session imported from “Hotspot+Block1.txt”	6	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:38.413	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	20.5574
Sample 7	Session imported from “Hotspot+Block1.txt”	7	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:38.507	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	17.1312
Sample 8	Session imported from “Hotspot+Block1.txt”	8	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:38.605	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 9	Session imported from “Hotspot+Block1.txt”	9	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:38.703	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	17.1312
Sample 10	Session imported from “Hotspot+Block1.txt”	10	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:38.805	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	18.2732
Sample 11	Session imported from “Hotspot+Block1.txt”	11	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:38.897	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	20.5574
Sample 12	Session imported from “Hotspot+Block1.txt”	12	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:39.008	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	19.4153
Sample 13	Session imported from “Hotspot+Block1.txt”	13	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:39.106	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	26.2678
Sample 14	Session imported from “Hotspot+Block1.txt”	14	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:39.204	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	15.9891
Sample 15	Session imported from “Hotspot+Block1.txt”	15	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:39.301	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	17.1312
Sample 16	Session imported from “Hotspot+Block1.txt”	16	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:39.398	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	18.2732
Sample 17	Session imported from “Hotspot+Block1.txt”	17	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:39.510	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	15.9891
Sample 18	Session imported from “Hotspot+Block1.txt”	18	PSC	174.2739	150.5319	190.6612	-0.9966	0.0126	0.0813	0.0290	-0.8707	0.4910	0.0770	0.4917	0.8674	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-20	11:12:39.607	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	25.1257
