# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End
Sample 284	Session imported from “Block2.txt”	284	PSC_2.5mm	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:17:41.772	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 285	Session imported from “Block2.txt”	285	PSC_2.5mm	188.1944	131.9045	171.2390	-0.0173	0.9360	0.3515	-0.6926	-0.2648	0.6709	0.7211	-0.2319	0.6529	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:18:37.638	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 286	Session imported from “Block2.txt”	286	PSC_2.5mm	188.0800	131.7696	171.3181	-0.0185	0.9359	0.3518	-0.6928	-0.2657	0.6704	0.7209	-0.2313	0.6533	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:18:38.139	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 287	Session imported from “Block2.txt”	287	PSC_2.5mm	188.1504	132.0210	171.3368	-0.0173	0.9361	0.3513	-0.6917	-0.2649	0.6718	0.7220	-0.2314	0.6521	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:18:38.640	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 288	Session imported from “Block2.txt”	288	PSC_2.5mm	187.9996	131.6635	171.3722	-0.0172	0.9367	0.3497	-0.6905	-0.2641	0.6734	0.7231	-0.2299	0.6513	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:18:39.140	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 289	Session imported from “Block2.txt”	289	PSC_2.5mm	188.1014	131.8008	171.3050	-0.0155	0.9372	0.3483	-0.6936	-0.2610	0.6714	0.7202	-0.2312	0.6541	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:18:39.740	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 290	Session imported from “Block2.txt”	290	PSC_2.5mm	188.0368	131.7213	171.3506	-0.0163	0.9368	0.3496	-0.6935	-0.2625	0.6710	0.7203	-0.2315	0.6539	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:18:40.241	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 291	Session imported from “Block2.txt”	291	PSC_2.5mm	188.1072	131.7753	171.2879	-0.0153	0.9364	0.3505	-0.6932	-0.2626	0.6712	0.7206	-0.2327	0.6532	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:18:40.741	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 292	Session imported from “Block2.txt”	292	PSC_2.5mm	188.0692	131.7691	171.3309	-0.0155	0.9369	0.3493	-0.6917	-0.2623	0.6729	0.7220	-0.2312	0.6521	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:18:41.339	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 293	Session imported from “Block2.txt”	293	PSC_2.5mm	188.0104	132.2929	171.6096	-0.0072	0.9363	0.3512	-0.6899	-0.2589	0.6760	0.7239	-0.2374	0.6478	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:18:51.534	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 294	Session imported from “Block2.txt”	294	PSC_2.5mm	188.1370	132.1231	171.3939	-0.0095	0.9355	0.3531	-0.6906	-0.2615	0.6743	0.7232	-0.2374	0.6486	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	11:18:52.035	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
