# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session imported from “Hotspot+Block1.txt”	1	(null)	128.0000	128.0000	199.4639	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	11:59:18.227	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	22.8416
Sample 2	Session imported from “Hotspot+Block1.txt”	2	(null)	128.0000	128.0000	199.4639	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	11:59:22.265	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	26.2678
Sample 3	Session imported from “Hotspot+Block1.txt”	3	(null)	170.7363	116.3272	181.7827	-0.4053	0.8290	0.3854	-0.7549	-0.5413	0.3704	0.5156	-0.1408	0.8452	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:00:55.641	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	174.7379
Sample 4	Session imported from “Hotspot+Block1.txt”	4	(null)	181.8682	108.8480	169.1775	-0.4415	0.7817	0.4404	-0.7249	-0.6000	0.3384	0.5288	-0.1698	0.8316	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:01:07.673	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	346.0496
Sample 5	Session imported from “Hotspot+Block1.txt”	5	Sample 4	192.0197	117.6718	160.5412	-0.3905	0.8368	0.3837	-0.7314	-0.5351	0.4227	0.5591	-0.1156	0.8210	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:01:45.765	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	47.9673
Sample 6	Session imported from “Hotspot+Block1.txt”	6	Sample 4	191.1133	107.3693	155.1639	-0.4223	0.8029	0.4208	-0.7059	-0.5825	0.4030	0.5687	-0.1269	0.8127	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:01:53.316	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	17.1312
Sample 7	Session imported from “Hotspot+Block1.txt”	7	Sample 4	186.0591	97.0915	158.0241	-0.4204	0.8018	0.4247	-0.6903	-0.5864	0.4237	0.5888	-0.1150	0.8000	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:02:18.483	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	20.5574
Sample 8	Session imported from “Hotspot+Block1.txt”	8	Sample 4	177.2661	94.5747	168.7709	-0.3912	0.8121	0.4330	-0.7170	-0.5639	0.4098	0.5770	-0.1501	0.8029	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:03:09.290	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	37.6886
Sample 9	Session imported from “Hotspot+Block1.txt”	9	Sample 4	170.6155	98.6131	176.2794	-0.3812	0.8190	0.4289	-0.7329	-0.5505	0.3997	0.5635	-0.1620	0.8101	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:03:16.714	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	34.2623
Sample 10	Session imported from “Hotspot+Block1.txt”	10	Sample 4	181.8281	108.0621	168.9551	-0.3974	0.8191	0.4136	-0.7243	-0.5568	0.4068	0.5635	-0.1379	0.8145	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:03:25.488	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	118.7761
Sample 11	Session imported from “Hotspot+Block1.txt”	11	Sample 4	191.7059	117.8040	161.0676	-0.4122	0.8050	0.4267	-0.7056	-0.5783	0.4094	0.5764	-0.1323	0.8064	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:03:34.372	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	113.0657
Sample 12	Session imported from “Hotspot+Block1.txt”	12	Sample 4	186.2292	122.6894	169.8216	-0.4108	0.8051	0.4279	-0.7045	-0.5782	0.4115	0.5787	-0.1324	0.8047	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:03:42.907	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	342.6234
Sample 13	Session imported from “Hotspot+Block1.txt”	13	Sample 4	177.7358	118.8590	176.7754	-0.4158	0.7980	0.4362	-0.7061	-0.5856	0.3981	0.5731	-0.1425	0.8070	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:03:49.534	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	382.5961
Sample 14	Session imported from “Hotspot+Block1.txt”	14	Sample 4	170.9953	110.1887	179.8776	-0.4375	0.7783	0.4504	-0.7008	-0.6090	0.3714	0.5634	-0.1532	0.8119	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:03:56.135	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	138.1914
Sample 15	Session imported from “Hotspot+Block1.txt”	15	Sample 4	172.3423	99.3812	175.3553	-0.4387	0.7668	0.4686	-0.7023	-0.6179	0.3535	0.5606	-0.1740	0.8096	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:04:04.031	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	34.2623
Sample 16	Session imported from “Hotspot+Block1.txt”	16	Sample 4	178.4606	122.5516	177.2557	-0.4248	0.8034	0.4173	-0.6974	-0.5843	0.4150	0.5772	-0.1147	0.8085	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:04:13.598	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	162.1751
Sample 17	Session imported from “Hotspot+Block1.txt”	17	Sample 4	185.7095	96.1627	158.0497	-0.3773	0.7977	0.4704	-0.7161	-0.5734	0.3980	0.5872	-0.1867	0.7876	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:04:46.662	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	12.5629
Sample 18	Session imported from “Hotspot+Block1.txt”	18	Sample 4	190.5497	107.1770	156.1818	-0.3702	0.8041	0.4652	-0.7097	-0.5679	0.4169	0.5994	-0.1758	0.7809	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:04:53.196	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	14.8470
Sample 19	Session imported from “Hotspot+Block1.txt”	19	Sample 4	191.4696	117.0905	161.0423	-0.3527	0.8202	0.4505	-0.7223	-0.5447	0.4262	0.5949	-0.1751	0.7845	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:04:57.611	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	25.1257
Sample 20	Session imported from “Hotspot+Block1.txt”	20	Sample 4	171.5818	100.4163	176.2482	-0.3479	0.8125	0.4677	-0.7456	-0.5422	0.3874	0.5684	-0.2139	0.7945	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:05:03.893	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	147.3280
Sample 21	Session imported from “Hotspot+Block1.txt”	21	Sample 4	164.2954	111.6573	184.5624	-0.2773	0.8571	0.4342	-0.7664	-0.4698	0.4380	0.5794	-0.2113	0.7872	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:05:54.036	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	323.2081
Sample 22	Session imported from “Hotspot+Block1.txt”	22	Sample 4	175.5989	86.5323	165.3785	-0.3203	0.8084	0.4939	-0.7428	-0.5379	0.3987	0.5880	-0.2392	0.7727	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:06:10.944	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	18.2732
Sample 23	Session imported from “Hotspot+Block1.txt”	23	Sample 4	171.3756	94.2957	173.9399	-0.2922	0.8137	0.5026	-0.7590	-0.5170	0.3958	0.5819	-0.2658	0.7686	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:06:44.267	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	34.2623
Sample 24	Session imported from “Hotspot+Block1.txt”	24	Sample 4	175.0364	108.5746	176.2264	-0.2234	0.8603	0.4583	-0.7404	-0.4556	0.4942	0.6339	-0.2289	0.7387	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	12:07:00.018	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	346.0496
