# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End
Sample 822	Session imported from “Block4.txt”	822	PMC_1.5mm	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:28:14.732	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 823	Session imported from “Block4.txt”	823	PMC_1.5mm	182.4340	122.6462	173.7754	-0.7040	0.0147	0.7100	-0.1917	-0.9666	-0.1700	0.6838	-0.2558	0.6833	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:04.497	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 824	Session imported from “Block4.txt”	824	PMC_1.5mm	182.5690	122.8329	173.7224	-0.7043	0.0114	0.7098	-0.1910	-0.9660	-0.1740	0.6837	-0.2581	0.6826	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:04.999	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 825	Session imported from “Block4.txt”	825	PMC_1.5mm	182.5596	122.8520	173.7375	-0.7041	0.0102	0.7101	-0.1899	-0.9662	-0.1744	0.6843	-0.2576	0.6822	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:05.500	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 826	Session imported from “Block4.txt”	826	PMC_1.5mm	182.5335	122.7910	173.7389	-0.7037	0.0086	0.7105	-0.1889	-0.9662	-0.1754	0.6850	-0.2576	0.6815	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:06.002	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 827	Session imported from “Block4.txt”	827	PMC_1.5mm	182.6130	122.7318	173.6482	-0.7035	0.0093	0.7106	-0.1893	-0.9662	-0.1748	0.6850	-0.2575	0.6815	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:06.601	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 828	Session imported from “Block4.txt”	828	PMC_1.5mm	182.4880	123.0559	173.8790	-0.7039	0.0073	0.7103	-0.1899	-0.9655	-0.1783	0.6845	-0.2604	0.6810	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:07.102	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 829	Session imported from “Block4.txt”	829	PMC_1.5mm	182.5419	122.7858	173.7297	-0.7024	0.0095	0.7117	-0.1921	-0.9654	-0.1767	0.6854	-0.2608	0.6799	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:07.701	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 830	Session imported from “Block4.txt”	830	PMC_1.5mm	182.6532	122.8230	173.6449	-0.6997	0.0122	0.7143	-0.1982	-0.9639	-0.1777	0.6864	-0.2659	0.6769	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:08.202	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 831	Session imported from “Block4.txt”	831	PMC_1.5mm	182.2983	122.4516	173.8274	-0.6973	0.0198	0.7165	-0.2035	-0.9640	-0.1714	0.6873	-0.2653	0.6762	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:18.398	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 832	Session imported from “Block4.txt”	832	PMC_1.5mm	182.3861	122.6397	173.8153	-0.6971	0.0204	0.7167	-0.2050	-0.9635	-0.1719	0.6871	-0.2668	0.6759	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:18.899	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 833	Session imported from “Block4.txt”	833	PMC_1.5mm	182.3261	122.4312	173.7961	-0.6976	0.0200	0.7162	-0.2021	-0.9645	-0.1700	0.6874	-0.2633	0.6769	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:19.401	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 834	Session imported from “Block4.txt”	834	PMC_1.5mm	182.4146	122.5319	173.7529	-0.6978	0.0209	0.7160	-0.2030	-0.9644	-0.1697	0.6869	-0.2638	0.6772	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:19.902	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 835	Session imported from “Block4.txt”	835	PMC_1.5mm	182.5213	122.5533	173.6666	-0.6977	0.0242	0.7160	-0.2040	-0.9648	-0.1662	0.6867	-0.2620	0.6780	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:20.403	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 836	Session imported from “Block4.txt”	836	PMC_1.5mm	182.4101	122.3988	173.7113	-0.6971	0.0224	0.7166	-0.2022	-0.9651	-0.1666	0.6879	-0.2610	0.6773	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:21.002	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 837	Session imported from “Block4.txt”	837	PMC_1.5mm	182.5971	122.5805	173.6094	-0.6970	0.0229	0.7167	-0.2038	-0.9646	-0.1674	0.6875	-0.2627	0.6770	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-16	13:29:21.503	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
