# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End
Sample 344	Session imported from “Block2.txt”	344	PMC_2.5mm	177.8610	151.5600	191.6825	-0.6246	0.6564	0.4231	-0.4836	-0.7505	0.4504	0.6132	0.0767	0.7862	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:43.454	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 345	Session imported from “Block2.txt”	345	PMC_2.5mm	178.1927	151.5312	191.4148	-0.6246	0.6569	0.4222	-0.4839	-0.7500	0.4510	0.6130	0.0774	0.7863	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:43.955	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 346	Session imported from “Block2.txt”	346	PMC_2.5mm	178.0189	151.5060	191.5472	-0.6285	0.6565	0.4172	-0.4834	-0.7498	0.4518	0.6094	0.0823	0.7886	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:44.455	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 347	Session imported from “Block2.txt”	347	PMC_2.5mm	178.3640	151.7337	191.2750	-0.6287	0.6563	0.4172	-0.4832	-0.7500	0.4516	0.6093	0.0823	0.7887	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:44.957	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 348	Session imported from “Block2.txt”	348	PMC_2.5mm	178.2250	151.8150	191.3756	-0.6297	0.6547	0.4182	-0.4817	-0.7514	0.4509	0.6094	0.0825	0.7885	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:45.458	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 349	Session imported from “Block2.txt”	349	PMC_2.5mm	178.1188	151.8224	191.4553	-0.6301	0.6532	0.4199	-0.4798	-0.7527	0.4509	0.6106	0.0826	0.7876	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:45.960	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 350	Session imported from “Block2.txt”	350	PMC_2.5mm	178.2381	151.5895	191.3775	-0.6307	0.6520	0.4209	-0.4800	-0.7539	0.4486	0.6098	0.0809	0.7884	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:46.461	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 351	Session imported from “Block2.txt”	351	PMC_2.5mm	178.1298	151.7018	191.4533	-0.6296	0.6524	0.4218	-0.4795	-0.7535	0.4497	0.6113	0.0809	0.7873	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:46.961	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 352	Session imported from “Block2.txt”	352	PMC_2.5mm	177.8065	151.6169	191.7314	-0.6129	0.6610	0.4329	-0.4817	-0.7469	0.4584	0.6263	0.0724	0.7762	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:57.358	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 353	Session imported from “Block2.txt”	353	PMC_2.5mm	177.8373	151.6158	191.7029	-0.6105	0.6653	0.4297	-0.4854	-0.7430	0.4608	0.6258	0.0727	0.7765	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:57.859	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 354	Session imported from “Block2.txt”	354	PMC_2.5mm	177.8515	151.6781	191.6877	-0.6110	0.6648	0.4298	-0.4836	-0.7433	0.4622	0.6267	0.0746	0.7757	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:58.360	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 355	Session imported from “Block2.txt”	355	PMC_2.5mm	177.8984	151.9448	191.6359	-0.6100	0.6638	0.4327	-0.4830	-0.7444	0.4610	0.6281	0.0722	0.7747	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:58.862	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 356	Session imported from “Block2.txt”	356	PMC_2.5mm	177.8285	151.9852	191.6996	-0.6105	0.6627	0.4337	-0.4825	-0.7455	0.4599	0.6281	0.0715	0.7749	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:59.363	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 357	Session imported from “Block2.txt”	357	PMC_2.5mm	177.9091	151.9841	191.6248	-0.6117	0.6626	0.4321	-0.4831	-0.7455	0.4592	0.6264	0.0721	0.7761	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:17:59.864	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 358	Session imported from “Block2.txt”	358	PMC_2.5mm	177.9460	151.9661	191.5911	-0.6130	0.6625	0.4304	-0.4820	-0.7453	0.4607	0.6260	0.0750	0.7762	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:18:00.365	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 359	Session imported from “Block2.txt”	359	PMC_2.5mm	178.1738	152.1707	191.3883	-0.6136	0.6621	0.4303	-0.4825	-0.7457	0.4594	0.6251	0.0743	0.7770	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:18:00.866	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 360	Session imported from “Block2.txt”	360	PMC_2.5mm	177.8002	151.7729	191.7324	-0.6257	0.6491	0.4326	-0.4761	-0.7571	0.4473	0.6179	0.0739	0.7828	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:18:11.259	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 361	Session imported from “Block2.txt”	361	PMC_2.5mm	177.7998	151.8795	191.7295	-0.6277	0.6463	0.4340	-0.4748	-0.7596	0.4445	0.6169	0.0729	0.7836	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:18:11.760	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 362	Session imported from “Block2.txt”	362	PMC_2.5mm	177.8292	151.7489	191.7062	-0.6261	0.6492	0.4319	-0.4762	-0.7570	0.4474	0.6174	0.0744	0.7831	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:18:12.261	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 363	Session imported from “Block2.txt”	363	PMC_2.5mm	177.9694	151.8091	191.5742	-0.6251	0.6517	0.4295	-0.4777	-0.7546	0.4498	0.6173	0.0760	0.7831	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:18:12.763	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 364	Session imported from “Block2.txt”	364	PMC_2.5mm	177.9468	151.7416	191.5973	-0.6249	0.6511	0.4307	-0.4761	-0.7551	0.4507	0.6187	0.0766	0.7819	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:18:13.264	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 365	Session imported from “Block2.txt”	365	PMC_2.5mm	177.8614	151.7308	191.6769	-0.6242	0.6506	0.4326	-0.4741	-0.7555	0.4521	0.6210	0.0771	0.7800	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:18:13.765	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 366	Session imported from “Block2.txt”	366	PMC_2.5mm	178.1354	151.8448	191.4416	-0.6250	0.6497	0.4328	-0.4763	-0.7566	0.4480	0.6185	0.0739	0.7823	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	12:18:14.267	TTL1	AP Coil	0.0000	(null)	(null)	(null)	(null)
