# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End
Sample 700	Session imported from “Block4.txt”	700	PMC_visit5_2mm	178.0115	151.7098	191.5421	-0.6537	0.6415	0.4014	-0.4765	-0.7610	0.4402	0.5879	0.0965	0.8032	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:41:49.989	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 701	Session imported from “Block4.txt”	701	PMC_visit5_2mm	177.9090	151.6562	191.6350	-0.6518	0.6457	0.3978	-0.4808	-0.7575	0.4417	0.5865	0.0966	0.8042	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:41:50.490	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 702	Session imported from “Block4.txt”	702	PMC_visit5_2mm	177.9370	151.7394	191.6065	-0.6507	0.6483	0.3955	-0.4823	-0.7550	0.4442	0.5866	0.0983	0.8039	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:41:50.991	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 703	Session imported from “Block4.txt”	703	PMC_visit5_2mm	177.8956	151.8488	191.6415	-0.6491	0.6507	0.3942	-0.4846	-0.7530	0.4450	0.5864	0.0978	0.8041	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:41:51.492	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 704	Session imported from “Block4.txt”	704	PMC_visit5_2mm	177.8882	151.9356	191.6457	-0.6475	0.6521	0.3943	-0.4869	-0.7521	0.4442	0.5862	0.0956	0.8045	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:41:51.993	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 705	Session imported from “Block4.txt”	705	PMC_visit5_2mm	177.8358	151.9261	191.6947	-0.6481	0.6519	0.3937	-0.4862	-0.7521	0.4449	0.5861	0.0969	0.8044	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:41:52.494	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 706	Session imported from “Block4.txt”	706	PMC_visit5_2mm	177.9052	152.0090	191.6277	-0.6488	0.6518	0.3927	-0.4865	-0.7521	0.4445	0.5851	0.0973	0.8051	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:41:52.996	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 707	Session imported from “Block4.txt”	707	PMC_visit5_2mm	177.8470	151.8153	191.6877	-0.6487	0.6541	0.3890	-0.4887	-0.7499	0.4459	0.5834	0.0992	0.8061	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:41:53.498	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 708	Session imported from “Block4.txt”	708	PMC_visit5_2mm	178.0818	152.2061	191.4598	-0.6491	0.6431	0.4063	-0.4815	-0.7609	0.4350	0.5889	0.0867	0.8035	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:03.896	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 709	Session imported from “Block4.txt”	709	PMC_visit5_2mm	178.1354	152.4472	191.3998	-0.6455	0.6524	0.3970	-0.4935	-0.7531	0.4352	0.5829	0.0850	0.8081	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:04.397	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 710	Session imported from “Block4.txt”	710	PMC_visit5_2mm	177.9879	152.7742	191.5065	-0.6479	0.6542	0.3903	-0.4962	-0.7512	0.4354	0.5780	0.0884	0.8112	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:04.898	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 711	Session imported from “Block4.txt”	711	PMC_visit5_2mm	177.9645	152.7144	191.5313	-0.6475	0.6534	0.3921	-0.4941	-0.7517	0.4368	0.5802	0.0891	0.8096	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:05.399	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 712	Session imported from “Block4.txt”	712	PMC_visit5_2mm	177.8591	151.9675	191.6717	-0.6513	0.6491	0.3930	-0.4881	-0.7549	0.4380	0.5810	0.0934	0.8085	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:05.900	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 713	Session imported from “Block4.txt”	713	PMC_visit5_2mm	178.1012	151.4984	191.4855	-0.6535	0.6496	0.3886	-0.4868	-0.7538	0.4415	0.5797	0.0993	0.8088	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:06.401	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 714	Session imported from “Block4.txt”	714	PMC_visit5_2mm	178.2414	151.2213	191.3943	-0.6534	0.6515	0.3855	-0.4918	-0.7525	0.4381	0.5755	0.0966	0.8121	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:07.000	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 715	Session imported from “Block4.txt”	715	PMC_visit5_2mm	178.2230	151.5709	191.3899	-0.6533	0.6495	0.3890	-0.4913	-0.7546	0.4349	0.5760	0.0930	0.8121	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:07.502	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 716	Session imported from “Block4.txt”	716	PMC_visit5_2mm	178.2847	151.8024	191.3312	-0.6380	0.6596	0.3974	-0.4995	-0.7472	0.4383	0.5861	0.0811	0.8062	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:17.790	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 717	Session imported from “Block4.txt”	717	PMC_visit5_2mm	178.2161	151.9147	191.3771	-0.6386	0.6580	0.3990	-0.4971	-0.7485	0.4388	0.5874	0.0819	0.8051	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:18.292	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 718	Session imported from “Block4.txt”	718	PMC_visit5_2mm	177.9971	151.7933	191.5489	-0.6403	0.6573	0.3974	-0.4970	-0.7490	0.4381	0.5856	0.0830	0.8063	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:18.793	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 719	Session imported from “Block4.txt”	719	PMC_visit5_2mm	178.0374	151.7640	191.5197	-0.6386	0.6584	0.3982	-0.4993	-0.7484	0.4367	0.5855	0.0801	0.8067	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:19.294	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
Sample 720	Session imported from “Block4.txt”	720	PMC_visit5_2mm	178.0663	151.7689	191.4977	-0.6391	0.6581	0.3980	-0.4992	-0.7486	0.4363	0.5851	0.0802	0.8070	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-16	12:42:19.795	TTL1	 AP Coil	0.0000	(null)	(null)	(null)	(null)
